house age,distance_to_mrt,num_convenience_stores,price_per_unit_area,num_of_rooms,pet_friendly
19.5,306.5947,9.0,42.2,2,No
13.3,561.9845,5.0,47.3,2,No
13.3,561.9845,5.0,54.8,4,No
5.0,390.5684,5.0,43.1,3,No
7.1,2175.03,3.0,32.1,3,Yes
34.5,623.4731,7.0,40.3,3,No
20.3,287.6025,6.0,46.7,3,Yes
31.7,5512.038,1.0,18.8,1,Yes
17.9,1783.18,3.0,22.1,1,No
34.8,405.2134,1.0,41.4,4,No
6.3,90.45606,9.0,58.1,4,Yes
13.0,492.2313,5.0,39.3,2,No
20.4,2469.645,4.0,23.8,1,No
13.2,1164.838,4.0,34.3,1,No
35.7,579.2083,2.0,50.5,6,Yes
0.0,292.9978,6.0,70.1,4,Yes
17.7,350.8515,1.0,37.4,4,No
16.9,368.1363,8.0,42.3,3,No
1.5,23.38284,7.0,47.7,4,No
4.5,2275.877,3.0,29.3,2,Yes
10.5,279.1726,7.0,51.6,6,No
14.7,1360.139,1.0,24.6,2,No
10.1,279.1726,7.0,47.9,3,No
39.6,480.6977,4.0,38.8,4,No
29.3,1487.868,2.0,27.0,2,No
3.1,383.8624,5.0,56.2,4,No
10.4,276.449,5.0,33.6,2,No
19.2,557.478,4.0,47.0,2,No
7.1,451.2438,5.0,57.1,5,No
29.6,769.4034,7.0,25.0,1,No
37.9,488.5727,1.0,34.2,3,No
16.5,323.655,6.0,49.3,4,No
15.4,205.367,7.0,55.1,6,No
14.7,1935.009,2.0,22.9,2,Yes
12.0,1360.139,1.0,25.3,2,No
3.1,577.9615,6.0,47.7,1,No
16.2,289.3248,5.0,46.2,1,No
36.1,519.4617,5.0,34.7,4,No
34.4,512.7871,6.0,34.1,3,No
2.7,533.4762,4.0,53.9,4,Yes
36.6,488.8193,8.0,38.3,1,No
21.7,463.9623,9.0,42.0,4,No
35.9,640.7391,3.0,61.5,4,No
29.4,4510.359,1.0,13.2,1,No
21.7,512.5487,4.0,44.2,3,No
31.3,1758.406,1.0,20.7,1,Yes
32.1,1438.579,3.0,27.0,1,Yes
33.6,371.2495,8.0,41.9,4,No
3.5,56.47425,7.0,53.5,3,No
30.3,4510.359,1.0,22.6,2,Yes
13.3,336.0532,5.0,42.4,1,No
11.0,1931.207,2.0,21.3,2,Yes
5.3,259.6607,6.0,63.2,6,No
17.2,2175.877,3.0,27.7,1,Yes
2.6,533.4762,4.0,55.0,4,Yes
40.1,123.7429,8.0,44.3,4,Yes
1.0,193.5845,6.0,50.7,5,No
8.5,104.8101,5.0,56.8,4,No
30.4,464.223,6.0,36.2,2,No
12.5,561.9845,5.0,42.0,4,No
6.6,90.45606,9.0,59.0,4,No
35.5,640.7391,3.0,40.8,2,No
32.5,424.5442,8.0,36.3,3,No
6.8,379.5575,10.0,54.4,3,No
12.3,1360.139,1.0,29.5,2,Yes
35.9,616.4004,3.0,36.8,3,No
20.5,2185.128,3.0,25.6,1,Yes
38.2,552.4371,2.0,29.8,1,No
18.0,1414.837,1.0,26.5,2,Yes
11.8,533.4762,4.0,40.3,4,No
30.8,377.7956,6.0,36.8,1,No
13.2,150.9347,7.0,48.1,6,No
25.3,2707.392,3.0,17.7,1,Yes
15.1,383.2805,7.0,43.7,3,Yes
0.0,338.9679,9.0,50.8,3,No
1.8,1455.798,1.0,27.0,1,Yes
0.0,274.0144,1.0,45.4,4,No
40.9,167.5989,5.0,41.0,3,No
8.0,104.8101,5.0,51.8,3,No
6.4,90.45606,9.0,59.5,3,No
28.4,617.4424,3.0,34.6,1,Yes
16.4,289.3248,5.0,51.0,4,No
6.4,90.45606,9.0,62.2,6,No
17.5,964.7496,4.0,38.2,1,No
12.7,170.1289,1.0,32.9,2,No
1.1,193.5845,6.0,54.4,6,No
0.0,208.3905,6.0,45.7,2,Yes
32.7,392.4459,6.0,30.5,2,No
0.0,292.9978,6.0,71.0,6,No
17.2,189.5181,8.0,47.1,4,Yes
12.2,1360.139,1.0,26.6,1,Yes
31.4,592.5006,2.0,34.1,4,No
4.0,2147.376,3.0,28.4,2,No
8.1,104.8101,5.0,51.6,5,No
33.3,196.6172,7.0,39.4,3,Yes
9.9,2102.427,3.0,23.1,2,Yes
14.8,393.2606,6.0,7.6,1,No
30.6,143.8383,8.0,53.3,6,Yes
20.6,737.9161,2.0,46.4,2,No
30.9,6396.283,1.0,12.2,1,Yes
25.3,1583.722,3.0,30.6,2,Yes
13.6,492.2313,5.0,48.0,4,No
31.5,414.9476,4.0,32.5,3,No
9.9,279.1726,7.0,57.4,3,No
1.1,193.5845,6.0,48.6,4,No
38.6,804.6897,4.0,62.9,5,No
3.8,383.8624,5.0,55.0,3,No
38.5,216.8329,7.0,41.0,2,No
29.6,535.527,8.0,37.5,2,No
4.0,2147.376,3.0,30.7,2,No
26.6,482.7581,5.0,37.5,2,No
18.0,373.3937,8.0,39.5,4,No
33.4,186.9686,6.0,42.2,1,No
11.4,390.5684,5.0,46.8,2,No
13.6,319.0708,6.0,47.4,3,No
12.9,492.2313,5.0,42.5,4,No
16.2,289.3248,5.0,51.4,5,No
5.1,1559.827,3.0,28.9,1,Yes
19.8,640.6071,5.0,37.5,1,No
13.6,492.2313,5.0,40.1,3,No
11.9,1360.139,1.0,28.4,2,Yes
2.1,451.2438,5.0,45.5,2,No
3.2,489.8821,8.0,43.2,2,No
34.9,179.4538,8.0,39.7,3,No
35.8,170.7311,7.0,48.5,3,No
4.9,387.7721,9.0,44.7,1,Yes
12.0,1360.139,1.0,28.9,2,Yes
6.5,376.1709,6.0,40.9,2,No
16.1,815.9314,4.0,35.6,3,Yes
11.6,390.5684,5.0,39.4,1,No
15.5,815.9314,4.0,37.4,3,Yes
3.5,49.66105,8.0,57.8,4,No
19.2,616.4004,3.0,39.6,2,No
8.5,104.8101,5.0,55.5,5,No
13.7,1236.564,1.0,30.6,1,No
0.0,292.9978,6.0,73.6,4,Yes
28.2,330.0854,8.0,43.4,2,No
27.6,515.1122,5.0,37.4,1,No
8.4,1962.628,1.0,23.5,2,Yes
3.6,383.8624,5.0,58.8,3,Yes
6.6,90.45606,9.0,58.1,3,No
41.3,401.8807,4.0,35.1,2,Yes
4.3,432.0385,7.0,45.2,3,No
30.2,472.1745,3.0,36.5,2,No
33.0,181.0766,9.0,42.0,2,No
13.1,1144.436,4.0,36.7,2,Yes
14.0,438.8513,1.0,42.6,4,No
11.6,201.8939,8.0,55.9,4,No
13.5,2147.376,3.0,23.6,1,Yes
31.4,1447.286,3.0,21.5,1,Yes
20.9,2185.128,3.0,25.7,1,Yes
34.8,190.0392,8.0,44.3,1,No
35.3,616.5735,8.0,42.3,4,Yes
13.2,750.0704,2.0,37.8,4,No
43.8,57.58945,7.0,42.7,3,No
9.7,421.479,5.0,49.3,6,Yes
15.2,461.1016,5.0,34.6,1,No
22.8,707.9067,2.0,36.6,2,No
34.4,126.7286,8.0,48.2,5,No
34.0,157.6052,7.0,39.1,4,No
18.2,451.6419,8.0,31.6,3,No
13.1,561.9845,5.0,45.9,3,No
38.3,642.6985,3.0,31.5,3,No
15.6,289.3248,5.0,46.1,3,No
18.0,1414.837,1.0,26.6,2,Yes
12.8,1449.722,3.0,21.4,1,No
22.2,379.5575,10.0,44.0,4,No
38.5,665.0636,3.0,34.2,4,No
11.5,1360.139,1.0,26.2,1,Yes
34.8,175.6294,8.0,40.9,1,No
5.2,390.5684,5.0,52.2,6,No
0.0,274.0144,1.0,43.5,3,Yes
17.6,1805.665,2.0,31.1,2,Yes
6.2,90.45606,9.0,58.0,3,No
18.1,1783.18,3.0,20.9,1,Yes
19.2,383.7129,8.0,48.1,6,No
37.8,590.9292,1.0,39.7,2,No
28.0,372.6242,6.0,40.8,4,No
13.6,492.2313,5.0,43.8,1,No
29.3,529.7771,8.0,40.2,4,No
37.2,186.5101,9.0,78.3,5,No
30.6,431.1114,10.0,48.5,6,No
34.5,324.9419,6.0,46.0,1,No
1.1,193.5845,6.0,49.0,6,No
32.4,265.0609,8.0,40.2,3,Yes
4.0,2147.376,3.0,33.4,4,Yes
27.1,4412.765,1.0,17.4,1,No
39.7,333.3679,9.0,32.4,2,No
8.0,2216.612,4.0,23.9,2,No
12.9,250.631,7.0,39.3,4,No
3.6,373.8389,10.0,61.9,3,No
11.0,1712.632,2.0,28.8,1,Yes
13.7,250.631,7.0,41.4,4,No
2.0,2077.39,3.0,33.4,1,Yes
32.8,204.1705,8.0,48.2,3,No
4.8,1559.827,3.0,21.7,1,Yes
7.5,639.6198,5.0,40.8,4,No
16.4,389.8219,6.0,40.6,4,No
18.0,6306.153,1.0,15.0,2,Yes
39.2,424.7132,7.0,30.0,2,No
5.9,90.45606,9.0,52.7,3,Yes
30.4,1735.595,2.0,25.9,1,Yes
1.1,329.9747,5.0,51.8,6,Yes
31.5,5512.038,1.0,17.4,2,No
14.6,339.2289,1.0,26.5,2,No
17.3,444.1334,1.0,43.9,4,No
0.0,292.9978,6.0,63.3,6,No
17.0,1485.097,4.0,30.7,2,Yes
16.2,2288.011,3.0,24.4,2,Yes
15.9,289.3248,5.0,53.0,4,No
3.9,2147.376,3.0,31.7,2,No
32.6,493.657,7.0,40.6,1,No
15.7,815.9314,4.0,38.1,4,No
17.8,1783.18,3.0,23.7,2,Yes
34.7,482.7581,5.0,41.1,1,No
17.2,390.5684,5.0,40.1,1,No
10.8,252.5822,1.0,117.5,4,No
17.7,451.6419,8.0,26.5,1,No
13.0,492.2313,5.0,40.5,1,No
13.2,170.1289,1.0,29.3,2,No
27.5,394.0173,7.0,41.0,1,No
1.5,23.38284,7.0,49.7,5,No
19.1,461.1016,5.0,34.0,4,No
21.2,2185.128,3.0,27.7,2,Yes
0.0,208.3905,6.0,44.0,4,No
2.6,1554.25,3.0,31.1,1,Yes
2.3,184.3302,6.0,45.4,3,No
4.7,387.7721,9.0,44.8,3,No
2.0,1455.798,1.0,25.6,1,Yes
33.5,1978.671,2.0,23.5,2,No
15.0,383.2805,7.0,34.4,2,No
30.1,718.2937,3.0,55.3,3,No
5.9,90.45606,9.0,56.3,5,No
