Customer ID,Age,Gender,Item Purchased,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Shipping Type,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
3475,,Male,Jacket,30.904467042706138,Maine,M,Burnt orange,Fall,4,Standard,No,0,Credit Card,
3698,21.0,Female,Backpack,31.58825894107014,,L,Turquoise,Winter,2,Express,No,1,Credit Card,Monthly
2756,31.0,Male,Leggings,24.23170380112001,Nevada,M,Terra cotta,Winter,4,Standard,No,0,Credit Card,
3340,,Male,Pajamas,33.91883420459124,Nebraska,M,Black,Winter,NA,Standard,No,2,Credit Card,Bi-Weekly
3391,38.0,Male,Sunglasses,36.54548675825605,Oregon,S,Aubergine,Summer,NA,Standard,No,0,Credit Card,
2599,26.0,Male,Leggings,23.595139400094574,Nevada,XL,Brown,Winter,NA,Standard,No,3,Credit Card,Quarterly
2591,43.0,Male,Dress,34.07901466832033,California,M,Terra cotta,Fall,5,Standard,No,0,Credit Card,
3650,29.0,Male,Shorts,23.796438702217987,Minnesota,M,Lavender,Summer,2,Express,No,0,Credit Card,
3353,25.0,Female,Jacket,31.59500546693233,Washington,M,Mauve,Fall,4,Standard,No,4,Credit Card,Quarterly
2477,39.0,Female,Shorts,32.374103646420124,Colorado,M,Fuchsia,Summer,NA,Standard,No,3,Credit Card,Bi-Weekly
2075,45.0,Female,Jacket,35.548977999088905,Florida,M,Brown,Winter,NA,Standard,No,10,Credit Card,Monthly
3278,23.0,Male,Backpack,34.43791821557749,Texas,M,Brown,Winter,NA,Standard,No,2,Credit Card,Monthly
3341,27.0,Female,Handbag,29.430620176505492,Virginia,XL,Black,Summer,NA,Standard,No,2,Credit Card,Weekly
1722,32.0,Female,Handbag,34.15135207375548,Delaware,S,White,Summer,4,Standard,No,11,Credit Card,Monthly
3526,,Male,Shorts,31.961770634789858,Wyoming,L,Pale peach,Spring,NA,Express,No,8,Credit Card,Monthly
2087,22.0,Female,Pajamas,30.281125374079494,North Dakota,L,Aubergine,Winter,NA,Standard,No,3,Credit Card,Monthly
3590,41.0,Male,Sweater,24.125612384240817,New Hampshire,M,Burnt orange,Winter,NA,Standard,No,4,Credit Card,Quarterly
3638,45.0,Male,Handbag,23.929249202177274,Utah,L,Fuchsia,Spring,5,Standard,No,3,Credit Card,Quarterly
3738,34.0,Female,Running Shoes,33.05221581546154,Kentucky,S,Fuchsia,Spring,5,Standard,No,2,Credit Card,Quarterly
3443,,Female,Leggings,30.550298245544063,Michigan,M,Burnt orange,Winter,NA,Next Day Air,No,6,Credit Card,Quarterly
2586,35.0,Male,Hoodie,29.422894544804542,Wisconsin,L,Terra cotta,Fall,4,Express,No,2,Credit Card,Annually
3152,48.0,Male,Backpack,32.93220742533828,New Mexico,L,Burnt orange,Winter,2,Standard,No,0,Credit Card,
3512,,Female,Shorts,22.91476509104395,Mississippi,M,Pale peach,Summer,NA,Standard,No,8,Credit Card,Monthly
3068,48.0,Male,Backpack,24.64088262275734,,S,Black,Winter,NA,Standard,No,3,Credit Card,Quarterly
2280,31.0,Female,Sunglasses,31.624912587912526,West Virginia,L,Fuchsia,Spring,5,Express,No,1,Credit Card,Annually
1982,56.0,Female,Gloves,30.133872566295462,Michigan,L,Brick red,Winter,4,Standard,No,12,Credit Card,Annually
3854,30.0,Female,Hoodie,23.884982955117174,Tennessee,M,Terra cotta,Fall,NA,Next Day Air,No,16,Credit Card,Annually
2063,29.0,Male,Dress,35.44236181789174,South Carolina,L,Pale peach,Summer,NA,Standard,No,5,Credit Card,Monthly
2142,31.0,Female,Shorts,31.437097428962293,Kentucky,M,Ruby Red,Fall,NA,Standard,No,0,Credit Card,
1934,68.0,Male,Boots,36.56113784800448,,L,Aubergine,Winter,NA,Standard,No,13,Bank Transfer,Quarterly
2114,42.0,Female,Sunglasses,28.85216053714169,Virginia,M,Lavender,Spring,2,Standard,No,5,Credit Card,Monthly
2559,18.0,Female,Leggings,25.4053441138384,California,M,Aubergine,Winter,5,Standard,No,0,Credit Card,
2609,29.0,Male,Socks,26.478229671390853,Mississippi,L,Aubergine,Winter,4,Standard,No,13,Credit Card,Monthly
