Year,State,Effective.Minimum.Wage.2020.Dollars
1968,Alabama,8.55
1968,Alaska,15.61
1968,Arizona,8.55
1968,Arkansas,8.55
1968,California,12.26
1968,Colorado,8.55
1968,Connecticut,10.41
1968,Delaware,9.29
1968,District of Columbia,9.29
1968,Florida,8.55
1968,Georgia,8.55
1968,Guam,9.29
1968,Hawaii,9.29
1968,Idaho,8.55
1968,Illinois,8.55
1968,Indiana,8.55
1968,Iowa,8.55
1968,Kansas,8.55
1968,Kentucky,8.55
1968,Louisiana,8.55
1968,Maine,10.41
1968,Maryland,8.55
1968,Massachusetts,11.89
1968,Michigan,9.29
1968,Minnesota,8.55
1968,Mississippi,8.55
1968,Missouri,8.55
1968,Montana,8.55
1968,Nebraska,8.55
1968,Nevada,9.29
1968,New Hampshire,10.41
1968,New Jersey,10.41
1968,New Mexico,8.55
1968,New York,11.89
1968,North Carolina,8.55
1968,North Dakota,8.55
1968,Ohio,8.55
1968,Oklahoma,8.55
1968,Oregon,9.29
1968,Pennsylvania,8.55
1968,Puerto Rico,8.55
1968,Rhode Island,10.41
1968,South Carolina,8.55
1968,South Dakota,8.55
1968,Tennessee,8.55
1968,Texas,8.55
1968,U.S. Virgin Islands,8.55
1968,Utah,8.55
1968,Vermont,10.41
1968,Virginia,8.55
1968,Washington,11.89
1968,West Virginia,8.55
1968,Wisconsin,9.29
1968,Wyoming,8.92
1969,Alabama,8.11
1969,Alaska,14.8
1969,Arizona,8.11
1969,Arkansas,8.11
1969,California,11.63
1969,Colorado,8.11
1969,Connecticut,9.87
1969,Delaware,8.81
1969,District of Columbia,8.81
1969,Florida,8.11
1969,Georgia,8.11
1969,Guam,8.81
1969,Hawaii,8.81
1969,Idaho,8.11
1969,Illinois,8.11
1969,Indiana,8.11
1969,Iowa,8.11
1969,Kansas,8.11
1969,Kentucky,8.11
1969,Louisiana,8.11
1969,Maine,9.87
1969,Maryland,8.11
1969,Massachusetts,11.28
1969,Michigan,8.81
1969,Minnesota,8.11
1969,Mississippi,8.11
1969,Missouri,8.11
1969,Montana,8.11
1969,Nebraska,8.11
1969,Nevada,8.81
1969,New Hampshire,9.87
1969,New Jersey,9.87
1969,New Mexico,8.11
1969,New York,11.28
1969,North Carolina,8.11
1969,North Dakota,8.11
1969,Ohio,8.11
1969,Oklahoma,8.11
1969,Oregon,8.81
1969,Pennsylvania,8.11
1969,Puerto Rico,8.11
1969,Rhode Island,9.87
1969,South Carolina,8.11
1969,South Dakota,8.11
1969,Tennessee,8.11
1969,Texas,8.11
1969,U.S. Virgin Islands,8.11
1969,Utah,8.11
1969,Vermont,9.87
1969,Virginia,8.11
1969,Washington,11.28
1969,West Virginia,8.11
1969,Wisconsin,8.81
1969,Wyoming,8.46
1970,Alabama,8.67
1970,Alaska,14
1970,Arizona,8.67
1970,Arkansas,8.67
1970,California,11
1970,Colorado,8.67
1970,Connecticut,10.67
1970,Delaware,8.67
1970,District of Columbia,10.67
1970,Florida,8.67
1970,Georgia,8.67
1970,Guam,10.67
1970,Hawaii,10.67
1970,Idaho,8.67
1970,Illinois,8.67
1970,Indiana,8.67
1970,Iowa,8.67
1970,Kansas,8.67
1970,Kentucky,8.67
1970,Louisiana,8.67
1970,Maine,10.67
1970,Maryland,8.67
1970,Massachusetts,10.67
1970,Michigan,8.67
1970,Minnesota,8.67
1970,Mississippi,8.67
1970,Missouri,8.67
1970,Montana,8.67
1970,Nebraska,8.67
1970,Nevada,8.67
1970,New Hampshire,9.67
1970,New Jersey,10
1970,New Mexico,8.67
1970,New York,10.67
1970,North Carolina,8.67
1970,North Dakota,8.67
1970,Ohio,8.67
1970,Oklahoma,8.67
1970,Oregon,8.67
1970,Pennsylvania,8.67
1970,Puerto Rico,8.67
1970,Rhode Island,10.67
1970,South Carolina,8.67
1970,South Dakota,8.67
1970,Tennessee,8.67
1970,Texas,8.67
1970,U.S. Virgin Islands,8.67
1970,Utah,8.67
1970,Vermont,10.67
1970,Virginia,8.67
1970,Washington,10.67
1970,West Virginia,8.67
1970,Wisconsin,8.67
1970,Wyoming,8.67
1971,Alabama,8.3
1971,Alaska,13.41
1971,Arizona,8.3
1971,Arkansas,8.3
1971,California,10.54
1971,Colorado,8.3
1971,Connecticut,10.22
1971,Delaware,8.3
1971,District of Columbia,10.22
1971,Florida,8.3
1971,Georgia,8.3
1971,Guam,10.22
1971,Hawaii,10.22
1971,Idaho,8.3
1971,Illinois,8.3
1971,Indiana,8.3
1971,Iowa,8.3
1971,Kansas,8.3
1971,Kentucky,8.3
1971,Louisiana,8.3
1971,Maine,10.22
1971,Maryland,8.3
1971,Massachusetts,10.22
1971,Michigan,8.3
1971,Minnesota,8.3
1971,Mississippi,8.3
1971,Missouri,8.3
1971,Montana,8.3
1971,Nebraska,8.3
1971,Nevada,8.3
1971,New Hampshire,9.26
1971,New Jersey,9.58
1971,New Mexico,8.3
1971,New York,10.22
1971,North Carolina,8.3
1971,North Dakota,8.3
1971,Ohio,8.3
1971,Oklahoma,8.3
1971,Oregon,8.3
1971,Pennsylvania,8.3
1971,Puerto Rico,8.3
1971,Rhode Island,10.22
1971,South Carolina,8.3
1971,South Dakota,8.3
1971,Tennessee,8.3
1971,Texas,8.3
1971,U.S. Virgin Islands,8.3
1971,Utah,8.3
1971,Vermont,10.22
1971,Virginia,8.3
1971,Washington,10.22
1971,West Virginia,8.3
1971,Wisconsin,8.3
1971,Wyoming,8.3
1972,Alabama,9.9
1972,Alaska,12.99
1972,Arizona,9.9
1972,Arkansas,9.9
1972,California,10.21
1972,Colorado,9.9
1972,Connecticut,11.45
1972,Delaware,9.9
1972,District of Columbia,9.9
1972,Florida,9.9
1972,Georgia,9.9
1972,Guam,11.76
1972,Hawaii,9.9
1972,Idaho,9.9
1972,Illinois,9.9
1972,Indiana,9.9
1972,Iowa,9.9
1972,Kansas,9.9
1972,Kentucky,9.9
1972,Louisiana,9.9
1972,Maine,9.9
1972,Maryland,9.9
1972,Massachusetts,10.83
1972,Michigan,9.9
1972,Minnesota,9.9
1972,Mississippi,9.9
1972,Missouri,9.9
1972,Montana,9.9
1972,Nebraska,9.9
1972,Nevada,9.9
1972,New Hampshire,9.9
1972,New Jersey,9.9
1972,New Mexico,9.9
1972,New York,11.45
1972,North Carolina,9.9
1972,North Dakota,9.9
1972,Ohio,9.9
1972,Oklahoma,9.9
1972,Oregon,9.9
1972,Pennsylvania,9.9
1972,Puerto Rico,9.9
1972,Rhode Island,9.9
1972,South Carolina,9.9
1972,South Dakota,9.9
1972,Tennessee,9.9
1972,Texas,9.9
1972,U.S. Virgin Islands,9.9
1972,Utah,9.9
1972,Vermont,9.9
1972,Virginia,9.9
1972,Washington,9.9
1972,West Virginia,9.9
1972,Wisconsin,9.9
1972,Wyoming,9.9
1973,Alabama,9.32
1973,Alaska,12.23
1973,Arizona,9.32
1973,Arkansas,9.32
1973,California,9.61
1973,Colorado,9.32
1973,Connecticut,10.78
1973,Delaware,9.32
1973,District of Columbia,9.32
1973,Florida,9.32
1973,Georgia,9.32
1973,Guam,11.07
1973,Hawaii,9.32
1973,Idaho,9.32
1973,Illinois,9.32
1973,Indiana,9.32
1973,Iowa,9.32
1973,Kansas,9.32
1973,Kentucky,9.32
1973,Louisiana,9.32
1973,Maine,9.32
1973,Maryland,9.32
1973,Massachusetts,10.19
1973,Michigan,9.32
1973,Minnesota,9.32
1973,Mississippi,9.32
1973,Missouri,9.32
1973,Montana,9.32
1973,Nebraska,9.32
1973,Nevada,9.32
1973,New Hampshire,9.32
1973,New Jersey,9.32
1973,New Mexico,9.32
1973,New York,10.78
1973,North Carolina,9.32
1973,North Dakota,9.32
1973,Ohio,9.32
1973,Oklahoma,9.32
1973,Oregon,9.32
1973,Pennsylvania,9.32
1973,Puerto Rico,9.32
1973,Rhode Island,9.32
1973,South Carolina,9.32
1973,South Dakota,9.32
1973,Tennessee,9.32
1973,Texas,9.32
1973,U.S. Virgin Islands,9.32
1973,Utah,9.32
1973,Vermont,9.32
1973,Virginia,9.32
1973,Washington,9.32
1973,West Virginia,9.32
1973,Wisconsin,9.32
1973,Wyoming,9.32
1974,Alabama,8.39
1974,Alaska,11.02
1974,Arizona,8.39
1974,Arkansas,8.39
1974,California,8.66
1974,Colorado,8.39
1974,Connecticut,9.71
1974,Delaware,8.39
1974,District of Columbia,8.39
1974,Florida,8.39
1974,Georgia,8.39
1974,Guam,9.97
1974,Hawaii,8.39
1974,Idaho,8.39
1974,Illinois,8.39
1974,Indiana,8.39
1974,Iowa,8.39
1974,Kansas,8.39
1974,Kentucky,8.39
1974,Louisiana,8.39
1974,Maine,8.39
1974,Maryland,8.39
1974,Massachusetts,9.18
1974,Michigan,8.39
1974,Minnesota,8.39
1974,Mississippi,8.39
1974,Missouri,8.39
1974,Montana,8.39
1974,Nebraska,8.39
1974,Nevada,8.39
1974,New Hampshire,8.39
1974,New Jersey,8.39
1974,New Mexico,8.39
1974,New York,9.71
1974,North Carolina,8.39
1974,North Dakota,8.39
1974,Ohio,8.39
1974,Oklahoma,8.39
1974,Oregon,8.39
1974,Pennsylvania,8.39
1974,Puerto Rico,8.39
1974,Rhode Island,8.39
1974,South Carolina,8.39
1974,South Dakota,8.39
1974,Tennessee,8.39
1974,Texas,8.39
1974,U.S. Virgin Islands,8.39
1974,Utah,8.39
1974,Vermont,8.39
1974,Virginia,8.39
1974,Washington,8.39
1974,West Virginia,8.39
1974,Wisconsin,8.39
1974,Wyoming,8.39
1975,Alabama,7.69
1975,Alaska,10.1
1975,Arizona,7.69
1975,Arkansas,7.69
1975,California,7.93
1975,Colorado,7.69
1975,Connecticut,8.89
1975,Delaware,7.69
1975,District of Columbia,7.69
1975,Florida,7.69
1975,Georgia,7.69
1975,Guam,9.13
1975,Hawaii,7.69
1975,Idaho,7.69
1975,Illinois,7.69
1975,Indiana,7.69
1975,Iowa,7.69
1975,Kansas,7.69
1975,Kentucky,7.69
1975,Louisiana,7.69
1975,Maine,7.69
1975,Maryland,7.69
1975,Massachusetts,8.41
1975,Michigan,7.69
1975,Minnesota,7.69
1975,Mississippi,7.69
1975,Missouri,7.69
1975,Montana,7.69
1975,Nebraska,7.69
1975,Nevada,7.69
1975,New Hampshire,7.69
1975,New Jersey,7.69
1975,New Mexico,7.69
1975,New York,8.89
1975,North Carolina,7.69
1975,North Dakota,7.69
1975,Ohio,7.69
1975,Oklahoma,7.69
1975,Oregon,7.69
1975,Pennsylvania,7.69
1975,Puerto Rico,7.69
1975,Rhode Island,7.69
1975,South Carolina,7.69
1975,South Dakota,7.69
1975,Tennessee,7.69
1975,Texas,7.69
1975,U.S. Virgin Islands,7.69
1975,Utah,7.69
1975,Vermont,7.69
1975,Virginia,7.69
1975,Washington,7.69
1975,West Virginia,7.69
1975,Wisconsin,7.69
1975,Wyoming,7.69
1976,Alabama,10
1976,Alaska,12.73
1976,Arizona,10
1976,Arkansas,10
1976,California,10
1976,Colorado,10
1976,Connecticut,10.05
1976,Delaware,10
1976,District of Columbia,10.23
1976,Florida,10
1976,Georgia,10
1976,Guam,10.46
1976,Hawaii,10.91
1976,Idaho,10
1976,Illinois,10
1976,Indiana,10
1976,Iowa,10
1976,Kansas,10
1976,Kentucky,10
1976,Louisiana,10
1976,Maine,10.46
1976,Maryland,10
1976,Massachusetts,10
1976,Michigan,10
1976,Minnesota,10
1976,Mississippi,10
1976,Missouri,10
1976,Montana,10
1976,Nebraska,10
1976,Nevada,10
1976,New Hampshire,10
1976,New Jersey,10
1976,New Mexico,10
1976,New York,10.46
1976,North Carolina,10
1976,North Dakota,10
1976,Ohio,10
1976,Oklahoma,10
1976,Oregon,10.46
1976,Pennsylvania,10
1976,Puerto Rico,10
1976,Rhode Island,10.46
1976,South Carolina,10
1976,South Dakota,10
1976,Tennessee,10
1976,Texas,10
1976,U.S. Virgin Islands,10
1976,Utah,10
1976,Vermont,10.46
1976,Virginia,10
1976,Washington,10
1976,West Virginia,10
1976,Wisconsin,10
1976,Wyoming,10
1977,Alabama,9.39
1977,Alaska,11.95
1977,Arizona,9.39
1977,Arkansas,9.39
1977,California,9.39
1977,Colorado,9.39
1977,Connecticut,9.43
1977,Delaware,9.39
1977,District of Columbia,9.6
1977,Florida,9.39
1977,Georgia,9.39
1977,Guam,9.82
1977,Hawaii,10.24
1977,Idaho,9.39
1977,Illinois,9.39
1977,Indiana,9.39
1977,Iowa,9.39
1977,Kansas,9.39
1977,Kentucky,9.39
1977,Louisiana,9.39
1977,Maine,9.82
1977,Maryland,9.39
1977,Massachusetts,9.39
1977,Michigan,9.39
1977,Minnesota,9.39
1977,Mississippi,9.39
1977,Missouri,9.39
1977,Montana,9.39
1977,Nebraska,9.39
1977,Nevada,9.39
1977,New Hampshire,9.39
1977,New Jersey,9.39
1977,New Mexico,9.39
1977,New York,9.82
1977,North Carolina,9.39
1977,North Dakota,9.39
1977,Ohio,9.39
1977,Oklahoma,9.39
1977,Oregon,9.82
1977,Pennsylvania,9.39
1977,Puerto Rico,9.39
1977,Rhode Island,9.82
1977,South Carolina,9.39
1977,South Dakota,9.39
1977,Tennessee,9.39
1977,Texas,9.39
1977,U.S. Virgin Islands,9.39
1977,Utah,9.39
1977,Vermont,9.82
1977,Virginia,9.39
1977,Washington,9.39
1977,West Virginia,9.39
1977,Wisconsin,9.39
1977,Wyoming,9.39
1978,Alabama,8.73
1978,Alaska,11.11
1978,Arizona,8.73
1978,Arkansas,8.73
1978,California,8.73
1978,Colorado,8.73
1978,Connecticut,8.77
1978,Delaware,8.73
1978,District of Columbia,8.93
1978,Florida,8.73
1978,Georgia,8.73
1978,Guam,9.12
1978,Hawaii,9.52
1978,Idaho,8.73
1978,Illinois,8.73
1978,Indiana,8.73
1978,Iowa,8.73
1978,Kansas,8.73
1978,Kentucky,8.73
1978,Louisiana,8.73
1978,Maine,9.12
1978,Maryland,8.73
1978,Massachusetts,8.73
1978,Michigan,8.73
1978,Minnesota,8.73
1978,Mississippi,8.73
1978,Missouri,8.73
1978,Montana,8.73
1978,Nebraska,8.73
1978,Nevada,8.73
1978,New Hampshire,8.73
1978,New Jersey,8.73
1978,New Mexico,8.73
1978,New York,9.12
1978,North Carolina,8.73
1978,North Dakota,8.73
1978,Ohio,8.73
1978,Oklahoma,8.73
1978,Oregon,9.12
1978,Pennsylvania,8.73
1978,Puerto Rico,8.73
1978,Rhode Island,9.12
1978,South Carolina,8.73
1978,South Dakota,8.73
1978,Tennessee,8.73
1978,Texas,8.73
1978,U.S. Virgin Islands,8.73
1978,Utah,8.73
1978,Vermont,9.12
1978,Virginia,8.73
1978,Washington,8.73
1978,West Virginia,8.73
1978,Wisconsin,8.73
1978,Wyoming,8.73
1979,Alabama,10.33
1979,Alaska,12.11
1979,Arizona,10.33
1979,Arkansas,10.33
1979,California,10.33
1979,Colorado,10.33
1979,Connecticut,10.37
1979,Delaware,10.33
1979,District of Columbia,10.33
1979,Florida,10.33
1979,Georgia,10.33
1979,Guam,10.33
1979,Hawaii,10.33
1979,Idaho,10.33
1979,Illinois,10.33
1979,Indiana,10.33
1979,Iowa,10.33
1979,Kansas,10.33
1979,Kentucky,10.33
1979,Louisiana,10.33
1979,Maine,10.33
1979,Maryland,10.33
1979,Massachusetts,10.33
1979,Michigan,10.33
1979,Minnesota,10.33
1979,Mississippi,10.33
1979,Missouri,10.33
1979,Montana,10.33
1979,Nebraska,10.33
1979,Nevada,10.33
1979,New Hampshire,10.33
1979,New Jersey,10.33
1979,New Mexico,10.33
1979,New York,10.33
1979,North Carolina,10.33
1979,North Dakota,10.33
1979,Ohio,10.33
1979,Oklahoma,10.33
1979,Oregon,10.33
1979,Pennsylvania,10.33
1979,Puerto Rico,10.33
1979,Rhode Island,10.33
1979,South Carolina,10.33
1979,South Dakota,10.33
1979,Tennessee,10.33
1979,Texas,10.33
1979,U.S. Virgin Islands,10.33
1979,Utah,10.33
1979,Vermont,10.33
1979,Virginia,10.33
1979,Washington,10.33
1979,West Virginia,10.33
1979,Wisconsin,10.33
1979,Wyoming,10.33
1980,Alabama,9.73
1980,Alaska,11.3
1980,Arizona,9.73
1980,Arkansas,9.73
1980,California,9.73
1980,Colorado,9.73
1980,Connecticut,9.79
1980,Delaware,9.73
1980,District of Columbia,9.73
1980,Florida,9.73
1980,Georgia,9.73
1980,Guam,9.73
1980,Hawaii,9.73
1980,Idaho,9.73
1980,Illinois,9.73
1980,Indiana,9.73
1980,Iowa,9.73
1980,Kansas,9.73
1980,Kentucky,9.73
1980,Louisiana,9.73
1980,Maine,9.73
1980,Maryland,9.73
1980,Massachusetts,9.73
1980,Michigan,9.73
1980,Minnesota,9.73
1980,Mississippi,9.73
1980,Missouri,9.73
1980,Montana,9.73
1980,Nebraska,9.73
1980,Nevada,9.73
1980,New Hampshire,9.73
1980,New Jersey,9.73
1980,New Mexico,9.73
1980,New York,9.73
1980,North Carolina,9.73
1980,North Dakota,9.73
1980,Ohio,9.73
1980,Oklahoma,9.73
1980,Oregon,9.73
1980,Pennsylvania,9.73
1980,Puerto Rico,9.73
1980,Rhode Island,9.73
1980,South Carolina,9.73
1980,South Dakota,9.73
1980,Tennessee,9.73
1980,Texas,9.73
1980,U.S. Virgin Islands,9.73
1980,Utah,9.73
1980,Vermont,9.73
1980,Virginia,9.73
1980,Washington,9.73
1980,West Virginia,9.73
1980,Wisconsin,9.73
1980,Wyoming,9.73
1981,Alabama,9.53
1981,Alaska,10.96
1981,Arizona,9.53
1981,Arkansas,9.53
1981,California,9.53
1981,Colorado,9.53
1981,Connecticut,9.59
1981,Delaware,9.53
1981,District of Columbia,9.53
1981,Florida,9.53
1981,Georgia,9.53
1981,Guam,9.53
1981,Hawaii,9.53
1981,Idaho,9.53
1981,Illinois,9.53
1981,Indiana,9.53
1981,Iowa,9.53
1981,Kansas,9.53
1981,Kentucky,9.53
1981,Louisiana,9.53
1981,Maine,9.53
1981,Maryland,9.53
1981,Massachusetts,9.53
1981,Michigan,9.53
1981,Minnesota,9.53
1981,Mississippi,9.53
1981,Missouri,9.53
1981,Montana,9.53
1981,Nebraska,9.53
1981,Nevada,9.53
1981,New Hampshire,9.53
1981,New Jersey,9.53
1981,New Mexico,9.53
1981,New York,9.53
1981,North Carolina,9.53
1981,North Dakota,9.53
1981,Ohio,9.53
1981,Oklahoma,9.53
1981,Oregon,9.53
1981,Pennsylvania,9.53
1981,Puerto Rico,9.53
1981,Rhode Island,9.53
1981,South Carolina,9.53
1981,South Dakota,9.53
1981,Tennessee,9.53
1981,Texas,9.53
1981,U.S. Virgin Islands,9.53
1981,Utah,9.53
1981,Vermont,9.53
1981,Virginia,9.53
1981,Washington,9.53
1981,West Virginia,9.53
1981,Wisconsin,9.53
1981,Wyoming,9.53
1982,Alabama,8.98
1982,Alaska,10.32
1982,Arizona,8.98
1982,Arkansas,8.98
1982,California,8.98
1982,Colorado,8.98
1982,Connecticut,9.03
1982,Delaware,8.98
1982,District of Columbia,8.98
1982,Florida,8.98
1982,Georgia,8.98
1982,Guam,8.98
1982,Hawaii,8.98
1982,Idaho,8.98
1982,Illinois,8.98
1982,Indiana,8.98
1982,Iowa,8.98
1982,Kansas,8.98
1982,Kentucky,8.98
1982,Louisiana,8.98
1982,Maine,8.98
1982,Maryland,8.98
1982,Massachusetts,8.98
1982,Michigan,8.98
1982,Minnesota,8.98
1982,Mississippi,8.98
1982,Missouri,8.98
1982,Montana,8.98
1982,Nebraska,8.98
1982,Nevada,8.98
1982,New Hampshire,8.98
1982,New Jersey,8.98
1982,New Mexico,8.98
1982,New York,8.98
1982,North Carolina,8.98
1982,North Dakota,8.98
1982,Ohio,8.98
1982,Oklahoma,8.98
1982,Oregon,8.98
1982,Pennsylvania,8.98
1982,Puerto Rico,8.98
1982,Rhode Island,8.98
1982,South Carolina,8.98
1982,South Dakota,8.98
1982,Tennessee,8.98
1982,Texas,8.98
1982,U.S. Virgin Islands,8.98
1982,Utah,8.98
1982,Vermont,8.98
1982,Virginia,8.98
1982,Washington,8.98
1982,West Virginia,8.98
1982,Wisconsin,8.98
1982,Wyoming,8.98
1983,Alabama,8.7
1983,Alaska,10
1983,Arizona,8.7
1983,Arkansas,8.7
1983,California,8.7
1983,Colorado,8.7
1983,Connecticut,8.75
1983,Delaware,8.7
1983,District of Columbia,8.7
1983,Florida,8.7
1983,Georgia,8.7
1983,Guam,8.7
1983,Hawaii,8.7
1983,Idaho,8.7
1983,Illinois,8.7
1983,Indiana,8.7
1983,Iowa,8.7
1983,Kansas,8.7
1983,Kentucky,8.7
1983,Louisiana,8.7
1983,Maine,8.7
1983,Maryland,8.7
1983,Massachusetts,8.7
1983,Michigan,8.7
1983,Minnesota,8.7
1983,Mississippi,8.7
1983,Missouri,8.7
1983,Montana,8.7
1983,Nebraska,8.7
1983,Nevada,8.7
1983,New Hampshire,8.7
1983,New Jersey,8.7
1983,New Mexico,8.7
1983,New York,8.7
1983,North Carolina,8.7
1983,North Dakota,8.7
1983,Ohio,8.7
1983,Oklahoma,8.7
1983,Oregon,8.7
1983,Pennsylvania,8.7
1983,Puerto Rico,8.7
1983,Rhode Island,8.7
1983,South Carolina,8.7
1983,South Dakota,8.7
1983,Tennessee,8.7
1983,Texas,8.7
1983,U.S. Virgin Islands,8.7
1983,Utah,8.7
1983,Vermont,8.7
1983,Virginia,8.7
1983,Washington,8.7
1983,West Virginia,8.7
1983,Wisconsin,8.7
1983,Wyoming,8.7
1984,Alabama,8.34
1984,Alaska,9.58
1984,Arizona,8.34
1984,Arkansas,8.34
1984,California,8.34
1984,Colorado,8.34
1984,Connecticut,8.39
1984,Delaware,8.34
1984,District of Columbia,8.34
1984,Florida,8.34
1984,Georgia,8.34
1984,Guam,8.34
1984,Hawaii,8.34
1984,Idaho,8.34
1984,Illinois,8.34
1984,Indiana,8.34
1984,Iowa,8.34
1984,Kansas,8.34
1984,Kentucky,8.34
1984,Louisiana,8.34
1984,Maine,8.34
1984,Maryland,8.34
1984,Massachusetts,8.34
1984,Michigan,8.34
1984,Minnesota,8.34
1984,Mississippi,8.34
1984,Missouri,8.34
1984,Montana,8.34
1984,Nebraska,8.34
1984,Nevada,8.34
1984,New Hampshire,8.34
1984,New Jersey,8.34
1984,New Mexico,8.34
1984,New York,8.34
1984,North Carolina,8.34
1984,North Dakota,8.34
1984,Ohio,8.34
1984,Oklahoma,8.34
1984,Oregon,8.34
1984,Pennsylvania,8.34
1984,Puerto Rico,8.34
1984,Rhode Island,8.34
1984,South Carolina,8.34
1984,South Dakota,8.34
1984,Tennessee,8.34
1984,Texas,8.34
1984,U.S. Virgin Islands,8.34
1984,Utah,8.34
1984,Vermont,8.34
1984,Virginia,8.34
1984,Washington,8.34
1984,West Virginia,8.34
1984,Wisconsin,8.34
1984,Wyoming,8.34
1985,Alabama,8.05
1985,Alaska,9.26
1985,Arizona,8.05
1985,Arkansas,8.05
1985,California,8.05
1985,Colorado,8.05
1985,Connecticut,8.1
1985,Delaware,8.05
1985,District of Columbia,8.05
1985,Florida,8.05
1985,Georgia,8.05
1985,Guam,8.05
1985,Hawaii,8.05
1985,Idaho,8.05
1985,Illinois,8.05
1985,Indiana,8.05
1985,Iowa,8.05
1985,Kansas,8.05
1985,Kentucky,8.05
1985,Louisiana,8.05
1985,Maine,8.05
1985,Maryland,8.05
1985,Massachusetts,8.05
1985,Michigan,8.05
1985,Minnesota,8.05
1985,Mississippi,8.05
1985,Missouri,8.05
1985,Montana,8.05
1985,Nebraska,8.05
1985,Nevada,8.05
1985,New Hampshire,8.05
1985,New Jersey,8.05
1985,New Mexico,8.05
1985,New York,8.05
1985,North Carolina,8.05
1985,North Dakota,8.05
1985,Ohio,8.05
1985,Oklahoma,8.05
1985,Oregon,8.05
1985,Pennsylvania,8.05
1985,Puerto Rico,8.05
1985,Rhode Island,8.05
1985,South Carolina,8.05
1985,South Dakota,8.05
1985,Tennessee,8.05
1985,Texas,8.05
1985,U.S. Virgin Islands,8.05
1985,Utah,8.05
1985,Vermont,8.05
1985,Virginia,8.05
1985,Washington,8.05
1985,West Virginia,8.05
1985,Wisconsin,8.05
1985,Wyoming,8.05
1986,Alabama,7.91
1986,Alaska,9.09
1986,Arizona,7.91
1986,Arkansas,7.91
1986,California,7.91
1986,Colorado,7.91
1986,Connecticut,7.95
1986,Delaware,7.91
1986,District of Columbia,7.91
1986,Florida,7.91
1986,Georgia,7.91
1986,Guam,7.91
1986,Hawaii,7.91
1986,Idaho,7.91
1986,Illinois,7.91
1986,Indiana,7.91
1986,Iowa,7.91
1986,Kansas,7.91
1986,Kentucky,7.91
1986,Louisiana,7.91
1986,Maine,7.91
1986,Maryland,7.91
1986,Massachusetts,7.91
1986,Michigan,7.91
1986,Minnesota,7.91
1986,Mississippi,7.91
1986,Missouri,7.91
1986,Montana,7.91
1986,Nebraska,7.91
1986,Nevada,7.91
1986,New Hampshire,7.91
1986,New Jersey,7.91
1986,New Mexico,7.91
1986,New York,7.91
1986,North Carolina,7.91
1986,North Dakota,7.91
1986,Ohio,7.91
1986,Oklahoma,7.91
1986,Oregon,7.91
1986,Pennsylvania,7.91
1986,Puerto Rico,7.91
1986,Rhode Island,7.91
1986,South Carolina,7.91
1986,South Dakota,7.91
1986,Tennessee,7.91
1986,Texas,7.91
1986,U.S. Virgin Islands,7.91
1986,Utah,7.91
1986,Vermont,7.91
1986,Virginia,7.91
1986,Washington,7.91
1986,West Virginia,7.91
1986,Wisconsin,7.91
1986,Wyoming,7.91
1987,Alabama,7.63
1987,Alaska,8.77
1987,Arizona,7.63
1987,Arkansas,7.63
1987,California,7.63
1987,Colorado,7.63
1987,Connecticut,7.67
1987,Delaware,7.63
1987,District of Columbia,7.63
1987,Florida,7.63
1987,Georgia,7.63
1987,Guam,7.63
1987,Hawaii,7.63
1987,Idaho,7.63
1987,Illinois,7.63
1987,Indiana,7.63
1987,Iowa,7.63
1987,Kansas,7.63
1987,Kentucky,7.63
1987,Louisiana,7.63
1987,Maine,7.63
1987,Maryland,7.63
1987,Massachusetts,7.63
1987,Michigan,7.63
1987,Minnesota,7.63
1987,Mississippi,7.63
1987,Missouri,7.63
1987,Montana,7.63
1987,Nebraska,7.63
1987,Nevada,7.63
1987,New Hampshire,7.63
1987,New Jersey,7.63
1987,New Mexico,7.63
1987,New York,7.63
1987,North Carolina,7.63
1987,North Dakota,7.63
1987,Ohio,7.63
1987,Oklahoma,7.63
1987,Oregon,7.63
1987,Pennsylvania,7.63
1987,Puerto Rico,7.63
1987,Rhode Island,7.63
1987,South Carolina,7.63
1987,South Dakota,7.63
1987,Tennessee,7.63
1987,Texas,7.63
1987,U.S. Virgin Islands,7.63
1987,Utah,7.63
1987,Vermont,7.63
1987,Virginia,7.63
1987,Washington,7.63
1987,West Virginia,7.63
1987,Wisconsin,7.63
1987,Wyoming,7.63
1988,Alabama,7.32
1988,Alaska,8.42
1988,Arizona,7.32
1988,Arkansas,7.32
1988,California,7.32
1988,Colorado,7.32
1988,Connecticut,8.2
1988,Delaware,7.32
1988,District of Columbia,7.65
1988,Florida,7.32
1988,Georgia,7.32
1988,Guam,7.32
1988,Hawaii,8.42
