State,Q4-2021,Q1-2022,Q2-2022
Connecticut,250639,254011,250985
Maine ,64676,64602,64400
Massachusetts ,544646,543417,539881
New Hampshire ,86293,83076,82558
Rhode Island ,55869,55218,55295
Vermont ,31108,31310,31298
Delaware ,65624,65345,65544
District of Columbia ,128885,129192,128908
Maryland ,372263,368400,367554
New Jersey,577173,579620,578198
New York,1558038,1556072,1558885
Pennsylvania ,724993,723032,721324
Illinois ,794516,799253,794219
Indiana,351580,355007,352022
Michigan ,487701,490748,488661
Ohio ,641954,639199,637361
Wisconsin ,312161,312366,310910
Iowa ,176322,177421,177060
Kansas,164189,165266,164226
Minnesota ,350521,349908,348770
Missouri ,298414,300810,299284
Nebraska,122538,124031,123486
North Dakota ,53554,52832,52741
South Dakota ,49920,50132,49922
Alabama ,213029,212790,212312
Arkansas,124837,126804,125831
Florida ,1064392,1060437,1064563
Georgia ,586183,588636,587663
Kentucky,200381,201437,200547
Louisiana ,222530,217427,215769
Mississippi ,104398,104743,104455
North Carolina ,555563,557783,556844
South Carolina ,224633,225761,225457
Tennessee ,361526,364843,365145
Virginia ,516072,511784,510602
West Virginia ,71905,70878,71130
Arizona ,357322,355309,353566
New Mexico,95553,94307,93750
Oklahoma,193515,190164,189412
Texas,1840893,1843354,1851812
Colorado ,382271,384985,383060
Idaho ,82875,83600,83427
Montana ,49972,49718,49586
Utah ,191570,191284,190744
Wyoming ,36465,36341,35900
Alaska ,51143,49070,48963
California ,2942969,2870411,2866766
Hawaii ,75845,74973,75084
Nevada,165265,163894,164287
Oregon ,233719,233503,232588
Washington,584844,577715,578520
