year,fips2010,rent50_0,rent50_1,rent50_2,rent50_3,rent50_4,state,cbsasub20,areaname20,county,cousub,cntyname,name,pop2017,hu2017,state_alpha
2020,4805999999,673,699,920,1209,1560,48,METRO10180M10180,"Abilene, TX MSA",59,99999,Callahan County,Callahan County,13660,6637,TX
2020,4825399999,673,699,920,1209,1560,48,METRO10180M10180,"Abilene, TX MSA",253,99999,Jones County,Jones County,19970,7292,TX
2020,4844199999,673,699,920,1209,1560,48,METRO10180M10180,"Abilene, TX MSA",441,99999,Taylor County,Taylor County,135370,56978,TX
2020,7200399999,386,397,452,591,713,72,METRO10380M10380,"Aguadilla-Isabela, PR HUD Metro FMR Area",3,99999,Aguada Municipio,Aguada Municipio,39470,17385,PR
2020,7200599999,386,397,452,591,713,72,METRO10380M10380,"Aguadilla-Isabela, PR HUD Metro FMR Area",5,99999,Aguadilla Municipio,Aguadilla Municipio,55720,27301,PR
2020,7201199999,386,397,452,591,713,72,METRO10380M10380,"Aguadilla-Isabela, PR HUD Metro FMR Area",11,99999,A§asco Municipio,A§asco Municipio,27890,12557,PR
2020,7207199999,386,397,452,591,713,72,METRO10380M10380,"Aguadilla-Isabela, PR HUD Metro FMR Area",71,99999,Isabela Municipio,Isabela Municipio,43315,20354,PR
2020,7208199999,386,397,452,591,713,72,METRO10380M10380,"Aguadilla-Isabela, PR HUD Metro FMR Area",81,99999,Lares Municipio,Lares Municipio,27320,12228,PR
2020,7209999999,386,397,452,591,713,72,METRO10380M10380,"Aguadilla-Isabela, PR HUD Metro FMR Area",99,99999,Moca Municipio,Moca Municipio,37675,15744,PR
2020,7211799999,386,397,452,591,713,72,METRO10380M10380,"Aguadilla-Isabela, PR HUD Metro FMR Area",117,99999,Rinc¢n Municipio,Rinc¢n Municipio,14525,9447,PR
2020,7213199999,386,397,452,591,713,72,METRO10380M10380,"Aguadilla-Isabela, PR HUD Metro FMR Area",131,99999,San Sebasti†n Municipio,San Sebasti†n Municipio,38970,17733,PR
2020,7214199999,379,390,444,553,601,72,METRO10380N72141,"Utuado Municipio, PR HUD Metro FMR Area",141,99999,Utuado Municipio,Utuado Municipio,30210,13315,PR
2020,3913399999,600,709,912,1147,1235,39,METRO10420M10420,"Akron, OH MSA",133,99999,Portage County,Portage County,162080,68623,OH
2020,3915399999,600,709,912,1147,1235,39,METRO10420M10420,"Akron, OH MSA",153,99999,Summit County,Summit County,541320,245731,OH
2020,1300799999,643,666,791,1031,1151,13,METRO10500M10500,"Albany, GA MSA",7,99999,Baker County,Baker County,3250,1770,GA
2020,1309599999,643,666,791,1031,1151,13,METRO10500M10500,"Albany, GA MSA",95,99999,Dougherty County,Dougherty County,91520,40702,GA
2020,1317799999,643,666,791,1031,1151,13,METRO10500M10500,"Albany, GA MSA",177,99999,Lee County,Lee County,29215,10877,GA
2020,1327399999,643,666,791,1031,1151,13,METRO10500M10500,"Albany, GA MSA",273,99999,Terrell County,Terrell County,8980,4177,GA
2020,1332199999,643,666,791,1031,1151,13,METRO10500M10500,"Albany, GA MSA",321,99999,Worth County,Worth County,20810,9316,GA
2020,4104399999,758,875,1153,1643,1919,41,METRO10540M10540,"Albany, OR MSA",43,99999,Linn County,Linn County,121075,49688,OR
2020,3600199999,806,922,1136,1416,1539,36,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",1,99999,Albany County,Albany County,308580,140088,NY
2020,3608399999,806,922,1136,1416,1539,36,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",83,99999,Rensselaer County,Rensselaer County,159800,72663,NY
2020,3609199999,806,922,1136,1416,1539,36,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",91,99999,Saratoga County,Saratoga County,226630,103766,NY
2020,3609399999,806,922,1136,1416,1539,36,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",93,99999,Schenectady County,Schenectady County,155240,69062,NY
2020,3609599999,806,922,1136,1416,1539,36,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",95,99999,Schoharie County,Schoharie County,31610,17465,NY
2020,3500199999,612,764,940,1356,1614,35,METRO10740M10740,"Albuquerque, NM MSA",1,99999,Bernalillo County,Bernalillo County,674855,291099,NM
2020,3504399999,612,764,940,1356,1614,35,METRO10740M10740,"Albuquerque, NM MSA",43,99999,Sandoval County,Sandoval County,138815,55163,NM
2020,3505799999,612,764,940,1356,1614,35,METRO10740M10740,"Albuquerque, NM MSA",57,99999,Torrance County,Torrance County,15535,7990,NM
2020,3506199999,612,764,940,1356,1614,35,METRO10740M10740,"Albuquerque, NM MSA",61,99999,Valencia County,Valencia County,75845,30894,NM
2020,2204399999,556,687,853,1122,1271,22,METRO10780M10780,"Alexandria, LA MSA",43,99999,Grant Parish,Grant Parish,22305,9201,LA
2020,2207999999,556,687,853,1122,1271,22,METRO10780M10780,"Alexandria, LA MSA",79,99999,Rapides Parish,Rapides Parish,132080,57515,LA
2020,4202599999,742,861,1098,1421,1487,42,METRO10900M10900,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",25,99999,Carbon County,Carbon County,63985,34703,PA
