year,county_fips,inctot,mortamt1,avrg_age,ftotinc,foodstmp_1_freq,foodstmp_2_freq,sex_2_freq,sex_1_freq,marst_5_freq,marst_6_freq,marst_1_freq,marst_4_freq,marst_3_freq,marst_2_freq,race_1_freq,race_2_freq,race_7_freq,race_8_freq,race_5_freq,race_6_freq,race_3_freq,race_4_freq,race_9_freq,ctz_stat_1_freq,ctz_stat_3_freq,ctz_stat_2_freq,lang_1_freq,lang_2_freq,educ_attain_2.0_freq,educ_attain_1.0_freq,educ_attain_3.0_freq,educ_attain_4.0_freq,empstat_1.0_freq,empstat_3.0_freq,empstat_2.0_freq,state_po,county_name,democrat,green,liberitarian,other,republican,winner
2000,1,24566.4,634.6,46,46912.7,93.6,6.4,54,46,8.9,16.8,59.1,11.5,2.3,1.3,77.1,20,0.6,1,0.1,0.7,0.4,0,0,97.3,1.5,1.1,96.5,3.5,41,51.9,6.4,0.7,58.4,38.4,3.2,,,,,,,,
2000,2,33842.9,1080.1,42.4,65021.9,95.3,4.7,50.3,49.7,4.1,18,61.1,13.4,1.7,1.6,80.5,2.7,0.6,2.5,0.3,3.6,9.1,0.4,0.2,92.6,2.8,4.6,89.4,10.6,53.1,36.5,8.9,1.5,70,25.2,4.8,,,,,,,,
2000,4,28331.7,814.7,45.3,52826.7,95.8,4.2,52.1,47.9,6.7,20.8,57.1,11.5,2,1.8,84.7,2.4,6.2,1.7,0.2,1.4,2.6,0.7,0,86.8,8.3,4.8,79.4,20.6,48.4,43.3,7.5,0.8,58.4,38.3,3.2,,,,,,,,
2000,5,22782.6,557.5,46.2,43941.3,92.5,7.5,53,47,9.5,15.6,60.6,10.9,2.2,1.1,85.7,10.8,0.8,1.2,0.1,0.5,0.7,0.1,0,98,1,1.1,96.8,3.2,38.3,55.7,5.2,0.8,59.1,37.8,3.2,,,,,,,,
2000,6,32245,1216.3,43.8,61455.3,95.7,4.3,52,48,6.4,24.5,53.7,10.6,2.4,2.5,70.5,5.4,7.9,2.6,1.3,7.8,0.9,3.5,0.2,70.9,15.2,13.9,65.6,34.4,50.2,40.1,8.5,1.2,61.4,35.1,3.6,,,,,,,,
2000,8,31768.4,949.2,43.3,58063.3,97.6,2.4,51.4,48.6,5.2,20.4,58.9,12.5,1.5,1.5,88.8,3.1,3.9,1.2,0.3,1.3,0.8,0.6,0.1,91.4,5.2,3.4,87.5,12.5,52.6,36.1,9.8,1.5,69,28.6,2.4,,,,,,,,
2000,9,39507.4,1180.4,46.9,75649,96,4,53.9,46.1,7.9,20.6,58.8,10.3,1.3,1.1,89.5,5.3,1.8,1,0.2,1.4,0.2,0.4,0.3,89,4.5,6.5,85.8,14.2,45.6,41.2,12.1,1.1,64.4,32.8,2.8,,,,,,,,
2000,10,31759.8,876.2,45.7,60578.1,96.4,3.6,52.4,47.6,7,20.8,58.6,10.6,1.8,1.2,81.1,14.6,0.9,1.2,0.2,1.3,0.2,0.5,0,92.7,3.7,3.6,92.5,7.5,43.9,46.7,8,1.3,64.4,33.5,2.1,,,,,,,,
2000,11,41198.4,1224.6,44.7,61379.7,92.3,7.7,55.7,44.3,8.4,45.8,28.2,11.8,3.8,2,39.6,53.7,2.3,1.6,0.3,1.6,0.1,0.6,0.2,85.3,10.3,4.5,85,15,42.4,35.5,18.3,3.8,63,32.4,4.6,,,,,,,,
2000,12,27923.5,802.4,48,51532.4,95.4,4.6,52.8,47.2,8.9,17.9,57.2,12.2,2.1,1.7,83.9,10.6,2.4,1.2,0.1,1.1,0.3,0.3,0,82.5,8.5,9,80.6,19.4,44.9,47.1,7.1,0.8,56.6,40.8,2.7,,,,,,,,
2000,13,29357.3,833.6,43.5,54146.4,94.8,5.2,53.7,46.3,7.3,20.4,57.8,11.4,1.9,1.3,72.8,22.5,1.3,0.9,0.2,1.4,0.3,0.5,0.1,93.7,4.3,2,93,7,40.7,51.1,7.4,0.8,63.6,33.5,2.9,,,,,,,,
2000,15,29667.6,1371,46.5,72013.2,90.7,9.3,51.1,48.9,6.8,22.9,56.2,9.2,1.1,3.8,27.1,1.4,0.9,10.8,23.3,26.9,0.3,4.8,4.5,79,8.4,12.6,72.4,27.6,49.1,42,8,0.9,62.5,34.6,3,,,,,,,,
2000,16,23525.5,696.8,44.9,45939.4,96.4,3.6,51.4,48.6,6.1,16,62,13.1,1.5,1.2,94,0.5,2.2,1.6,0.1,0.3,0.8,0.5,0.1,95.7,2.7,1.6,92.1,7.9,49.2,44,5.9,0.9,62.1,35.1,2.9,,,,,,,,
2000,17,31891.2,929,44.9,62263.3,95.3,4.7,52.9,47.1,7.2,23,56.7,9.7,1.7,1.6,80.7,11,3.3,1,0.1,3,0.2,0.6,0,87.4,6.5,6.1,83.5,16.5,46.3,43.9,8.8,1,64.1,32.8,3.1,,,,,,,,
2000,18,27106.8,656.8,45.4,52815,96.2,3.8,52.5,47.5,7.2,18.6,61.1,10.9,1.2,1,90.6,6,1.2,0.6,0.1,0.7,0.4,0.3,0.1,96.3,1.8,1.9,92.8,7.2,38.2,54.7,6.3,0.8,63.9,33.7,2.3,,,,,,,,
2000,19,25074.1,614.4,46.6,47859.8,96.3,3.7,52,48,7.6,18,62.2,9.3,1.3,1.6,95.9,1.5,0.7,0.8,0,0.9,0.1,0.2,0,96.8,2,1.2,95.3,4.7,45.1,47.9,6.2,0.8,66.5,31.1,2.4,,,,,,,,
2000,20,27322,718.5,45.9,51126.9,97,3,51.9,48.1,7.6,17.7,61.9,10.2,1.2,1.5,92.5,3.2,1,1.1,0.1,1,0.5,0.4,0.1,96.5,1.6,1.8,94.8,5.2,48.8,42.7,7.9,0.6,67.2,30.7,2.1,,,,,,,,
2000,21,22579.9,570.7,45.1,42688.5,92.1,7.9,53.1,46.9,8.2,16.9,61,11,1.6,1.3,92.9,5,0.4,0.9,0.1,0.4,0.2,0.2,0,97.8,1.2,1,96.9,3.1,35.6,58.3,5.4,0.7,59.1,37.4,3.5,,,,,,,,
2000,22,24483.4,647.4,44.8,47812.5,90.8,9.2,53.9,46.1,8.4,21.1,55.2,11.4,2.8,1.1,72.4,24.5,0.5,0.9,0,1,0.6,0.1,0.1,97.3,1.1,1.6,90.5,9.5,37.6,55.5,6,0.9,57.3,39.1,3.6,,,,,,,,
2000,23,25332.8,620.9,48.2,47237.7,92.2,7.8,53.4,46.6,8.3,16.1,61.6,11.7,1.3,0.9,97.3,0.2,0.1,1.1,0.2,0.4,0.7,0,0,95.9,2,2.1,91.8,8.2,43.9,47.7,7.3,1,61.5,36,2.6,,,,,,,,
2000,24,34246.3,1071.4,45.3,64884.8,96.2,3.8,54,46,7.1,23,56.2,9.7,2.7,1.3,71.2,21.6,1.2,0.8,0.2,2.8,0.3,1.8,0.1,88.8,5.2,6,88,12,44.5,41.5,12.1,1.9,66.7,30.4,2.9,,,,,,,,
2000,25,35092.9,1053.2,46.1,67199,97.3,2.7,53.7,46.3,7.7,23.8,56.4,8.8,1.8,1.6,90,3.6,1.9,0.6,0.1,2.2,0.1,1.2,0.2,86.2,6.9,6.9,84,16,44.7,41.1,12.3,1.9,65.8,32,2.2,,,,,,,,
2000,26,29177,754.7,45.5,57715.8,95.6,4.4,52.5,47.5,7.4,21.1,58.5,10.6,1.4,1,86.5,9.3,0.9,1.1,0.1,1.2,0.4,0.4,0.1,94.1,2.7,3.1,92.2,7.8,46.2,45.7,7.3,0.7,61.3,35.7,3,,,,,,,,
