code,ISO3V10,Country,EPI_regions,GEO_subregion,GDPCAP07,Population07,Landarea,PopulationDensity07,Landlock,No_surface_water,Desert,High_Population_Density,EPI,ENVHEALTH,ECOSYSTEM,DALY,AIR_H,WATER_H,AIR_E,WATER_E,BIODIVERSITY,FORESTRY,FISHERIES,AGRICULTURE,CLIMATE
352,ISL,Iceland,Europe,Western Europe,36117.88,310997,91116.36,3.41,0,0,0,0,93.5,95.09,91.87,91.5,97.37,100,38.36,96.11,68.86,100,66.46,65.45,90.31
756,CHE,Switzerland,Europe,Western Europe,37581.17,7550077,38975.12,193.72,1,0,0,0,89.1,92.29,85.9,89.1,90.96,100,47.84,93.46,100,100,-1,70,73.83
188,CRI,Costa Rica,Latin America and Caribbean,Meso America,10239.06,4462192.6,51014.99,87.47,0,0,0,0,86.4,82.18,90.61,77.54,77.62,96.03,59.94,73.86,73.4,100,99.12,90.91,78.55
752,SWE,Sweden,Europe,Western Europe,34090.27,9148092,431704.25,21.19,0,0,0,0,86,92.77,79.32,86.86,97.37,100,59.22,96.3,61.04,100,66.52,88.11,70.11
578,NOR,Norway,Europe,Western Europe,49358.83,4709153,318523.72,14.78,0,0,0,0,81.1,90.75,71.52,82.81,97.37,100,58.14,97.54,46.63,100,72.4,70,65.68
480,MUS,Mauritius,Sub-Saharan Africa,Western Indian Ocean,10667.86,1260692,1993.16,632.51,0,0,0,1,80.6,83.66,77.51,70.31,97.37,96.63,43.7,74.38,44.96,86.45,99.53,93.01,72.92
250,FRA,France,Europe,Western Europe,31624.73,61707072,547106.71,112.79,0,0,0,0,78.2,90.75,65.69,82.81,97.37,100,41.97,79.9,67.43,100,87.6,84.12,56.36
40,AUT,Austria,Europe,Western Europe,35536.57,8315427,83160.64,99.99,1,0,0,0,78.1,89.47,66.8,86.86,84.15,100,39.83,97.55,100,100,-1,84.54,50.07
192,CUB,Cuba,Latin America and Caribbean,Caribbean,9100,11257013.26,111198.91,101.23,0,0,0,0,78.1,84.35,71.91,74.45,97.37,91.12,40.66,74.08,49.63,100,94.3,83.2,66.6
170,COL,Colombia,Latin America and Caribbean,South America,8109.03,43987000,1141177.03,38.55,0,0,0,0,76.8,74.6,78.94,63.34,90.12,81.62,47.77,69.3,82.66,96.89,88.59,76.16,71.32
470,MLT,Malta,Europe,Western Europe,22045.93,409197,315.39,1297.43,0,0,0,1,76.3,92.12,60.55,86.86,94.74,100,21.76,61.97,75.06,100,89.27,62.15,59.01
246,FIN,Finland,Europe,Western Europe,33324.14,5288720,317001.35,16.68,0,0,0,0,74.7,90.75,58.74,82.81,97.37,100,55.29,91.7,68.64,100,69.49,88.98,46.3
703,SVK,Slovakia,Europe,Central Europe,19341.54,5397318,48874.99,110.43,1,0,0,0,74.5,84.5,64.41,70.31,97.37,100,55.82,94.59,100,100,-1,82.32,45.2
