GeoFIPS,GeoName,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
" ""01000""",Alabama,All industry total,Millions of current dollars,104716.9,110181.3,115833.1,120132.9,123035.3,128117.4,133969.3,146886.7,156403.3,164347.8,170263.9,172677.2,169128.5,175470.1,181929.9,186553.9,192166.5,195037.7,200197.5,204454.7,210895.7,221030.7,228142.6,224870.6
" ""02000""",Alaska,All industry total,Millions of current dollars,25800,24227.6,24779.3,26815.8,28455.4,29633.4,31789.7,34987.9,39788.7,44457.1,49002.6,54759,49651.6,52947.7,56333.9,57717.5,56625.3,55750.6,50728.1,49755.6,51737,54292.9,54385.6,50246.7
" ""04000""",Arizona,All industry total,Millions of current dollars,132290.9,143286.2,155282.6,164609.9,171480.5,179475.6,192764.8,205390.5,228232.6,248154.2,262245.3,259262.6,243764.6,248125.3,257881.1,268068.2,275007.5,284851.4,298615,313056.5,330146.6,350718.3,370119.1,372461
" ""05000""",Arkansas,All industry total,Millions of current dollars,59826.9,62397.8,66791.2,68740.4,70680.3,73986.5,78306.3,84557,89643.1,94451.6,96991.9,99014.4,96983.7,100970.8,105107.8,107718.8,112764.6,116151.8,117734.3,119191.8,122978.5,127761.3,130954.1,129073.9
" ""06000""",California,All industry total,Millions of current dollars,1071327.2,1147944.3,1247734.4,1366166.5,1387551.8,1439341.7,1530559.8,1632428.7,1752648.9,1874851.3,1955320.9,1990187.9,1919271.1,1973511.9,2049336.8,2144089.6,2261510.6,2399077.7,2559643.2,2671100.5,2831038.4,2975083,3132800.6,3091871.5
" ""08000""",Colorado,All industry total,Millions of current dollars,136916.6,150364.4,164132,180693.3,187546.2,191062.2,196768.6,204374.6,220307.4,231256.3,246151,255830.2,248669.1,255660.7,264310.2,273593.9,288383.5,305690.9,317992.4,327757.3,348175.5,372452.9,392986,390098.7
" ""09000""",Connecticut,All industry total,Millions of current dollars,138548.4,145432.7,152353.9,165822.4,172834.5,176191.6,181230.3,198282.4,208660.9,222914.3,237397.6,240576.2,236921.6,238051.6,236816.3,244114.4,244127.5,248778.9,262372.7,266747.3,272569.9,279782.3,287822.2,280900.3
" ""10000""",Delaware,All industry total,Millions of current dollars,33400,37065.1,40427.3,43515.9,46555.9,45828.2,47731.3,51337.7,52028.2,54956.7,56281.3,54777.6,57267.3,57986.7,60821.8,61866.7,61007.5,67549.8,71547.8,69284.2,69899.4,74186.7,77082.4,75512.5
" ""11000""",District of Columbia,All industry total,Millions of current dollars,52483.3,54780.2,58751.3,61033.2,65518.4,70072.6,74178.3,80557.4,85349.2,88580.5,94036.8,99532.3,100916.9,106097.8,109998.8,112610,115021.1,119722.8,124853.7,129477.1,132853.6,138773.5,143389.3,143532.7
" ""12000""",Florida,All industry total,Millions of current dollars,401688.9,429188.3,456797.9,488466.1,516558.8,548397.8,583447.2,636087.5,697260.1,744660.6,768568.1,750972.8,725658.1,738242.3,746535.3,768722.9,800886,840386.4,897754.7,941561.2,990096.6,1050298.4,1106500.1,1095888.2
" ""13000""",Georgia,All industry total,Millions of current dollars,242681.6,265321.7,289446.6,306019.9,317271.2,326670.1,340627,364229,386999.9,402501.1,414779.6,411851.7,406066.3,414664,427826.9,443566.1,459578.7,485282.5,515753,541292.2,568398.9,602023.9,625713.6,619240
" ""15000""",Hawaii,All industry total,Millions of current dollars,37700.7,37621.7,39246.9,41519.9,42982.8,45449.9,48922.8,53761.1,58658.7,62349.9,65223.8,66857.7,65711.3,68260.2,70630.1,73676.7,75807.8,77819.3,82644,85899.9,89618.6,93100.5,95744.3,89856.2
" ""16000""",Idaho,All industry total,Millions of current dollars,29523.9,31099,34252.3,38130.6,37493.8,38820,40417.7,43865.9,47958.1,50985.5,53864.9,55584.4,53763.9,55215.3,56516.4,57780.1,61155.2,63799.4,66082,69075.5,73286.5,79090.8,83665.5,84032.2
" ""17000""",Illinois,All industry total,Millions of current dollars,415771.9,436648.6,460242.3,486766.2,501155.5,513611.5,530142.9,561037,589149.4,623471.2,648243.6,648732,645146.7,661714.8,687951,720881.5,734808.5,766120.8,795326.1,803943.7,823776.2,863039.5,885583,863516.7
" ""18000""",Indiana,All industry total,Millions of current dollars,170481.1,184395,192765.5,203356.8,204705.6,212438.6,223500.2,236921.3,243862.2,255462.9,269071.3,273140.1,261500.2,280497,288942.9,297816.1,308725.4,325008.3,329527.7,337217.2,350436.3,368424.5,379684.1,372636.7
