TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
North Carolina,ACC,40,33,123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30,32.3,30.4,53.9,44.6,32.7,36.2,,8.6,2ND,1,2016
Wisconsin,B10,40,36,129.1,93.6,0.9758,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,,11.3,2ND,1,2015
Michigan,B10,40,33,114.4,90.4,0.9375,53.9,47.7,14,19.5,25.5,24.9,30.7,30,54.7,46.8,35.2,33.2,,6.9,2ND,3,2018
Texas Tech,B12,38,31,115.2,85.2,0.9696,53.5,43,17.7,22.8,27.4,28.7,32.9,36.6,52.8,41.9,36.5,29.7,,7,2ND,3,2019
Gonzaga,WCC,39,37,117.8,86.3,0.9728,56.6,41.1,16.2,17.1,30,26.2,39,26.9,56.3,40,38.2,29,,7.7,2ND,1,2017
Kentucky,SEC,40,29,117.2,96.2,0.9062,49.9,46,18.1,16.1,42,29.7,51.8,36.8,50,44.9,33.2,32.2,,3.9,2ND,8,2014
Michigan,B10,38,,121.5,93.7,0.9522,54.6,48,14.6,18.7,32.5,29.4,28.4,22.7,53.4,47.6,37.9,32.6,,6.2,2ND,4,2013
Duke,ACC,39,35,125.2,90.6,0.9764,56.6,46.5,16.3,18.6,35.8,30.2,39.8,23.9,55.9,46.3,38.7,31.4,,10.7,Champions,1,2015
Virginia,ACC,38,35,123,89.9,0.9736,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,52.5,45.7,39.5,28.9,,11.1,Champions,1,2019
North Carolina,ACC,39,33,121,91.5,,,,,,,25,34.3,31.6,51,46.3,35.5,33.9,,8.4,Champions,1,2017
Villanova,BE,40,35,123.1,90.9,0.9703,56.1,46.7,16.3,20.6,28.2,29.4,34.1,30,57.4,44.1,36.2,33.9,,8.9,Champions,2,2016
Villanova,BE,40,36,128.4,94.1,0.9725,59.5,48.5,15,18.2,29.6,27.1,29.4,26.7,59,49,40.1,31.7,,10.6,Champions,1,2018
Connecticut,Amer,40,32,112.5,91.3,0.9171,51.5,44.6,17.3,19.6,30.4,32.8,38.3,35.7,48.1,42.2,38.7,33,,4.7,Champions,7,2014
Louisville,BE,40,35,115.9,84.5,0.9743,50.6,44.8,18.3,27,38.2,33.3,40,34.9,50.8,43.4,33.3,31.8,,9,Champions,1,2013
Louisville,ACC,36,27,109.4,87.4,0.929,47.7,44,17.2,21.3,34.7,30.8,38.7,33.3,48.4,43.3,30.7,30.3,,5.8,E8,4,2015
Notre Dame,ACC,38,32,125.3,98.6,0.9401,58.3,47.9,14.5,17.3,27.9,32.2,36.7,24.1,58.2,47.4,39,32.6,,8.6,E8,3,2015
Notre Dame,ACC,36,24,118.3,103.3,0.8269,54,49.5,15.3,14.8,32.7,32.1,32.9,26,52.9,46.5,37.4,36.9,,2.3,E8,6,2016
Virginia,ACC,37,29,119.9,91,0.96,54.8,48.4,15.1,18.8,29.9,25.2,32.1,33.4,52.6,46.3,40.3,34.7,,8.6,E8,1,2016
Duke,ACC,37,29,122.3,92.9,0.9592,55.9,46.4,17.5,17.3,38.8,30,34.6,22.3,56,45.4,37.2,32,,6.6,E8,2,2018
Florida St.,ACC,35,23,113.2,96.4,0.8631,53.2,48.4,17.8,19.4,32.3,29.8,37,32.4,53.6,45.4,35,35.5,,0.9,E8,9,2018
Duke,ACC,38,32,118.9,89.2,0.9646,53.6,45,17.5,19.4,35.6,29.5,33.2,24,58,45,30.8,29.9,,11.2,E8,1,2019
Purdue,B10,36,26,122.8,94.3,0.9539,53.6,49,15.8,18.6,34.5,27,29.9,31.7,51.5,47.2,37.4,34.2,,6.1,E8,3,2019
Kansas,B12,37,32,120.9,90.4,0.9662,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,,11.6,E8,1,2016
Kansas,B12,36,31,121.5,94.5,0.9472,56.1,48.1,17.6,18.6,34.1,29.7,36,30,53.6,45.3,40.4,35.6,,11,E8,1,2017
Kansas St.,B12,37,,109.6,93.7,0.8584,52.6,49.1,17.2,21.6,25.9,31.9,33.8,36.8,53.4,48.9,34.1,33,,2.5,E8,9,2018
Texas Tech,B12,37,27,112.7,91.5,0.917,52,46.4,17.8,21.7,32.9,28.7,39.3,38,51.1,45.1,35.9,32.3,,4.7,E8,3,2018
Xavier,BE,38,24,115.6,97.9,0.8713,51.9,51.6,18.4,17.5,34.5,25.5,41.1,33.4,52,52.5,34.5,33.4,,1.6,E8,11,2017
Arizona,P12,38,34,117.5,86.9,0.97,53.5,45.1,16.5,20.6,34.5,22.4,47.1,37.3,53.3,42.7,36,33.5,,9,E8,2,2015
Oregon,P12,37,30,118.4,96.2,0.9163,52.3,48.9,16.1,20.2,34.1,30.5,40.3,32,52.6,46.1,34.4,36.2,,6.7,E8,1,2016
Florida,SEC,36,27,116.6,88.9,0.9576,51.6,45.8,16.9,21,32.1,29.5,40.2,34,50.3,45.7,35.9,30.5,,6.4,E8,4,2017
Kentucky,SEC,38,32,118.3,91.3,0.9517,52.9,47.5,15.7,19.2,33.5,27.7,40.9,33.5,52.9,48.3,35.3,30.6,,9,E8,2,2017
Kentucky,SEC,37,30,117.5,89.8,0.9568,53,46.6,18.6,17.9,36.8,25.5,41.9,26.8,52.9,43.6,35.4,34.3,,8.8,E8,2,2019
Gonzaga,WCC,37,34,120.2,93.1,0.9498,57.9,,16.1,17.1,33.9,28,38.7,30.5,57,42,40,33,,7.8,E8,2,2015
Gonzaga,WCC,37,33,123.4,89.9,0.9744,59,44.2,14.9,19,31.5,26.8,35.3,25.9,61.4,43.4,36.3,30.4,,7,E8,1,2019
Arizona,P12,38,33,116.2,87.4,0.9636,51.7,42.3,15.7,19.1,36.4,27.3,41,34.2,50.7,40.2,36.4,32,,9.4,E8,1,2014
Michigan,B10,37,28,125,99.9,0.9295,55.7,49.4,14.8,17.1,29.4,30.5,34.9,26.7,52.7,50.2,40.2,31.8,,7.7,E8,2,2014
Michigan St.,B10,38,29,119.6,95.3,0.9319,54.5,45.8,17.4,17.7,32.9,27.5,33.7,40.3,52.1,43.5,39.2,33.2,,6.9,E8,4,2014
Dayton,A10,37,26,113,99.1,0.8188,52.4,48.8,18.1,18.8,33.9,28.8,40.6,43,50.4,48.3,37.7,33.2,,0.6,E8,11,2014
Ohio St.,B10,37,29,113.6,89.4,0.9406,50.6,45.4,16.2,20.7,31.8,28.2,35.5,29.5,49.4,43.6,35.6,32.4,,7.2,E8,2,2013
Duke,ACC,36,30,118.4,91.5,0.9507,53.9,45.5,15.6,20.4,28.8,32.3,39.2,32.7,50.8,46.2,39.9,29,,7.5,E8,2,2013
Marquette,BE,35,26,113,93.2,0.902,49.6,46.2,20.9,19.5,38.4,33.1,40.9,31.7,51.6,44.9,29.6,32.3,,4.5,E8,3,2013
Florida,SEC,37,29,115.7,85.7,0.9694,55.2,43.3,17.8,22.5,34.2,28.4,31,29.9,54.3,41.8,37.8,31,,4.1,E8,3,2013
Syracuse,ACC,37,23,111.9,93.6,0.8857,50,47.3,18.1,20.4,33.5,35.3,35.4,28,47.2,48.1,36,30.7,,-0.3,F4,10,2016
Michigan St.,B10,39,27,116.3,92.6,0.9327,53.2,44.9,17.5,16.5,33.5,27,32.7,39,50.8,43.8,38.5,31.5,,3,F4,7,2015
Michigan St.,B10,39,32,119.9,91,0.9597,55.2,,18.5,14.9,33.9,26.4,33.6,27.5,54.3,41.9,37.8,31.6,,10.7,F4,2,2019
Oklahoma,B12,37,29,118.2,94.1,0.9326,54.3,47.2,18.3,17.7,31.2,30.5,33,28.3,48.2,45.3,42.2,33.7,,8,F4,2,2016
Kansas,B12,39,31,122.1,96.4,0.9385,57.5,,16.6,18.2,29.4,31.2,27,24.6,55.6,48.6,40.1,33.3,,8.2,F4,1,2018
Loyola Chicago,MVC,37,32,110.5,95.4,0.8444,57.7,47.4,19.1,19.4,22.1,25.9,32.2,25.2,56.6,47.1,39.8,32,,2,F4,11,2018
Oregon,P12,38,33,117.8,93.8,0.9321,55.5,,17.1,19.3,32.4,29.5,34.4,26.3,54.5,46.1,38,31.2,,6,F4,3,2017
Kentucky,SEC,39,38,120.3,84,0.9842,51.5,39.6,16.3,21.3,39.5,31.8,43.9,31.7,51.2,39.1,34.9,27.1,,13.1,F4,1,2015
South Carolina,SEC,36,26,108.7,89,0.9083,47.3,45.5,18.4,24.3,34,31.6,40.2,44.5,45.9,45.4,33.4,30.6,,1.7,F4,7,2017
Auburn,SEC,39,30,121.3,95.2,0.942,54.4,,16.8,24.6,31.6,32.8,30.9,36.4,51.7,51.4,38.1,34.8,,6.1,F4,5,2019
Florida,SEC,39,,115.9,88.4,0.9575,52.2,45.4,17.5,21.3,35.3,28,42.4,31.2,51.3,43.5,35.9,33,,11.7,F4,1,2014
Wisconsin,B10,38,30,122.7,95.9,0.9441,53.3,,12.7,,28.1,27.4,42.7,27.1,51.3,45.9,37.6,34.1,,7.9,F4,2,2014
Syracuse,BE,40,30,113,87,0.9533,49,42.6,18.9,23.6,,,36.8,35.4,48.5,42.6,33.4,28.4,,5.1,F4,4,2013
Wichita St.,MVC,39,30,110.6,91,0.9045,50,45.3,19.4,20,38,,,38.3,49.6,43.6,33.9,32.2,,2.2,F4,9,2013
Duquesne,A10,30,11,107,111.7,0.379,51.2,51.7,18.3,16,31.7,33.3,,33.8,49.5,47.7,36.2,38.5,,-11.3,NA,NA,2015
Fordham,A10,30,9,101,103,0.445,46.7,50.2,22.2,18.7,33.4,29.5,33.1,41.7,47.8,49.6,29.8,34.1,,-12.3,NA,NA,2015
George Mason,A10,30,8,101.2,103.8,0.4276,45.5,50,21.9,18.5,35.9,30.4,41.1,44.7,44.9,48.4,31.6,35.3,,-12.6,NA,NA,2015
George Washington,A10,35,22,107.2,96.2,0.7755,48.9,45.9,18.7,18.3,35.5,30.9,39.9,28.9,47.3,44.9,35.2,31.9,,-2.3,NA,NA,2015
La Salle,A10,33,17,98.9,92.9,0.6734,46.7,45.8,19.9,20.1,29.6,30.8,36.4,34.4,46.1,45.1,32.1,31.6,,-6.3,NA,NA,2015
Massachusetts,A10,32,17,104.5,100.7,,,,,,,,42.4,35.2,48.4,47.1,29.6,35,,-4.9,NA,NA,2015
Rhode Island,A10,32,22,102.1,91,0.79,48.9,43.9,20.8,21.8,32.3,29.2,47.3,46,50.1,45,30.5,27.3,,-1.1,NA,NA,2015
Richmond,A10,35,21,106.7,94.6,0.7997,52.1,46,15.6,21.1,22.2,33.4,32.9,33.5,52.8,46.2,34,30.3,,-3.5,NA,NA,2015
Saint Joseph's,A10,31,13,98.2,97.3,0.5254,45.3,48.3,19.2,19,31.5,30.4,35.2,31.3,45.5,46.3,29.9,34.8,,-9.6,NA,NA,2015
Saint Louis,A10,31,10,94.1,102.8,0.2642,46.2,51.6,21.7,20.9,27.2,32.1,41.5,44.5,45.2,50.6,32,35.7,,-12.8,NA,NA,2015
St. Bonaventure,A10,31,18,102.4,98.5,0.6081,47.1,48.4,18.9,19.7,35,29,37.9,33.9,47.1,45.3,31.4,36.2,,-5.4,NA,NA,2015
Davidson,A10,32,19,113,106,0.6767,52,52,14.2,15.8,24.9,30.8,,30.6,51.1,52.2,35.5,34.3,,-2.1,NA,NA,2016
Duquesne,A10,33,16,108.2,105.1,0.5851,53.9,49.4,18.9,15.6,,,33.6,38.6,53.1,42.8,36.6,40.2,,-7.8,NA,NA,2016
Fordham,A10,30,16,101.8,100.4,0.5388,51.5,51.4,20.4,,,26.9,33.6,40.5,51.2,52.3,34.6,33.4,,-6,NA,NA,2016
George Mason,A10,32,11,101.4,103.1,0.4507,45.1,48.4,,10.2,33.5,22.8,34.4,30,45.7,46,29.2,35.3,,-11.6,NA,NA,2016
George Washington,A10,38,28,114.9,99.1,0.8454,50.8,48.7,,17.5,34.4,27.9,39.1,27,48.4,48.2,37.1,33,,-0.8,NA,NA,2016
La Salle,A10,30,8,99.2,105.3,0.3358,47.7,53.3,18.8,19.1,24.9,34.3,30.9,34.9,45.4,51.1,33.6,38.1,,-12.6,NA,NA,2016
Massachusetts,A10,32,14,102.1,100.7,0.5394,49.1,48.3,17.5,17.1,25.9,30.4,36.5,40.2,48.8,49,33,31.3,,-8.7,NA,NA,2016
Rhode Island,A10,32,17,107.6,98.3,0.7403,50.4,47.6,17.5,18.8,30.6,26.3,37.6,39.6,48.3,46.6,36.5,33.3,,-5.9,NA,NA,2016
Richmond,A10,32,16,112.6,104,0.7136,54.7,50.9,14.7,18.2,23.2,31.7,35.2,36.1,55.4,49.4,35.6,36,,-5.5,NA,NA,2016
Saint Louis,A10,32,11,96.4,100.2,0.3913,47.7,50,19.5,18.5,20.7,27.9,37.8,39.3,46.9,50.5,32.8,32.8,,-11.6,NA,NA,2016
St. Bonaventure,A10,31,,113.2,104.4,0.7173,51.5,49.6,16.5,19,31.3,33.4,37.5,37.4,48.8,50.5,37.3,32.1,,-0.1,NA,NA,2016
Davidson,A10,32,17,108.8,98.6,0.7561,51.6,49.7,17.4,17.1,25.1,26.9,31.5,33.4,51.9,45.8,34.1,38.1,,-5.2,NA,NA,2017
Duquesne,A10,32,10,101.6,106.1,0.3798,48.9,49.9,20,17.6,29,30.2,37.1,33.3,48.3,47.9,33.4,35.9,,-14.7,NA,NA,2017
Fordham,A10,31,13,96.6,98.2,0.4547,48.4,53,19.7,25.6,23.4,31,26.7,43.5,47.4,52.3,33.2,36.1,,-11.8,NA,NA,2017
George Mason,A10,33,20,106.1,103.7,0.5669,49.3,48.6,18.7,14.2,31.6,24.5,39.7,27.7,48.5,48.4,34.2,32.7,,-5.2,NA,NA,2017
