Country,League,Club,Player Names,Matches_Played,Substitution ,Mins,Goals,Shots,OnTarget,Shots Per Avg Match,On Target Per Avg Match,Year
Spain,La Liga,(BET),Juanmi Callejon,19,16,1849,11,48,20,2.47,1.03,2016
Spain,La Liga,(BAR),Antoine Griezmann,36,0,3129,16,88,41,2.67,1.24,2016
Spain,La Liga,(ATL),Luis Suarez,34,1,2940,28,120,57,3.88,1.84,2016
Spain,La Liga,(CAR),Ruben Castro,32,3,2842,,117,42,3.91,1.4,2016
Spain,La Liga,(VAL),Kevin Gameiro,21,10,1745,13,50,23,2.72,1.25,2016
Spain,La Liga,(JUV),Cristiano Ronaldo,29,0,2634,25,162,60,5.84,2.16,2016
Spain,La Liga,(RMA),Karim Benzema,23,6,1967,11,69,34,3.33,,2016
Spain,La Liga,(PSG),Neymar ,30,0,2694,13,105,42,3.7,1.48,2016
Spain,La Liga,(CEL),Iago Aspas,25,7,2354,19,78,37,3.15,1.49,2016
Spain,La Liga,(EIB),Sergi Enrich,31,7,2904,11,64,26,2.09,0.85,2016
Spain,La Liga,None,Aduriz ,27,5,2480,16,85,45,3.26,1.72,2016
Spain,La Liga,(HUE),Sandro Ramlrez,28,2,2340,14,93,38,3.78,1.54,2016
Spain,La Liga,(BAR),Lionel Messi,32,2,2910,37,179,76,5.84,2.48,2016
Spain,La Liga,(VIL),Gerard Moreno,37,0,3361,13,82,32,2.32,0.9,2016
Spain,La Liga,(JUV),Morata,14,12,1392,15,55,30,3.75,2.05,2016
Spain,La Liga,(MON),Wissam Ben Yedder,20,11,1735,11,44,23,2.41,1.26,2016
Spain,La Liga,(SOC),Willian Jose,27,1,2102,12,69,29,3.12,1.31,2016
Spain,La Liga,Florin,Andone ,32,5,2984,12,99,42,3.15,1.34,2016
Spain,La Liga,(SOC),Cedric Bakambu,17,9,1633,10,50,26,2.91,1.51,2016
Spain,La Liga,(RMA),Isco,18,12,1690,10,32,15,1.8,0.84,2016
Italy,Serie A,(LIV),Mohamed Salah,29,2,2567,15,80,50,2.96,1.85,2016
Italy,Serie A,(SAS),Gregoire Defrel,23,6,2054,12,43,28,1.99,1.3,2016
Italy,Serie A,(LAZ),Ciro Immobile,35,1,3294,22,136,98,3.92,2.83,2016
Italy,Serie A,(VER),Nikola Kalinic,26,6,2648,15,90,61,3.23,2.19,2016
Italy,Serie A,(NAP),Dries Mertens,28,7,2671,28,148,102,5.26,3.63,2016
Italy,Serie A,(ATA),Alejandro Gomez,37,0,3247,16,117,75,3.42,2.19,2016
Italy,Serie A,(FIO),Jose CallejOn,37,0,3276,14,86,57,2.49,1.65,2016
Italy,Serie A,(BEN),Iago Falque,31,4,2633,,65,42,2.35,1.52,2016
Italy,Serie A,(CAG),Giovanni Simeone,29,6,2764,,76,35,2.61,1.2,2016
Italy,Serie A,(PSG),Mauro Icardi,34,0,3188,24,109,52,3.25,1.55,2016
Italy,Serie A,(CRZ),Diego Falcinelli,35,1,3308,13,99,65,2.84,1.87,2016
Italy,Serie A,Cyril,Cyril Thereau,31,2,2585,12,70,48,2.57,1.76,2016
Italy,Serie A,(ROM),Edin Dzeko,33,4,3194,29,178,99,5.29,2.94,2016
Italy,Serie A,(NAP),Lorenzo Insigne,35,2,3031,18,147,81,4.61,2.54,2016
Italy,Serie A,(SAM),Fabio Quagliarella,35,2,3030,12,112,70,3.51,2.19,2016
Italy,Serie A,Marco,Borriello ,30,6,2737,16,81,51,2.81,1.77,2016
Italy,Serie A,(VIL),Carlos Bacca,26,6,2228,13,56,39,2.39,1.66,2016
Italy,Serie A,(IMI),Gonzalo Higuain,32,6,3138,24,134,91,4.06,2.75,2016
Italy,Serie A,(SAM),Keita Balde,21,10,2033,16,70,48,3.27,2.24,2016
Italy,Serie A,(TOR),Andrea Belotti,,1,3241,26,130,78,3.81,2.29,2016
Germany,Bundesliga,(HKI),Fin Bartels,,8,2315,8,42,29,1.72,1.19,2016
Germany,Bundesliga,(BMG),Lars Stindl,,1,2673,11,68,50,2.42,1.78,2016
Germany,Bundesliga,(BAY),Serge Gnabry,,4,2028,11,62,33,2.9,1.55,2016
Germany,Bundesliga,Sandro,Wagner ,30,1,2695,11,65,35,2.29,1.23,2016
Germany,Bundesliga,(HOF),Andrej Kramaric,28,6,2449,15,99,60,3.84,2.33,2016
Germany,Bundesliga,(FCA),Florian Niederlechner,29,5,2477,11,79,56,3.03,2.15,2016
Germany,Bundesliga,(BAY),Robert Lewandowski,31,2,2871,30,143,86,4.73,2.85,2016
Germany,Bundesliga,(RBL),Emil Forsberg,27,3,2420,8,49,32,1.92,1.26,2016
Germany,Bundesliga,(CHE),Timo Werner,28,3,2496,21,74,50,2.82,1.9,2016
Germany,Bundesliga,(SCF),Nils Petersen,7,26,1351,10,52,33,3.66,2.32,2016
Germany,Bundesliga,(SCH),Vedad Ibisevic,32,0,2772,12,72,46,2.47,1.58,2016
Germany,Bundesliga,None,Mario Gomez,32,1,2950,16,84,45,2.71,1.45,2016
Germany,Bundesliga,(WOB),Maximilian Philipp,23,2,2000,9,53,34,2.52,1.62,2016
Germany,Bundesliga,(MAI),Adam Szalai,7,15,833,8,18,15,2.05,1.71,2016
Germany,Bundesliga,(ARS),Pierre-Emerick Aubameyang,31,1,2894,31,116,78,3.81,2.56,2016
Germany,Bundesliga,(STP),Guido Burgstaller,17,1,1494,9,45,24,2.86,1.53,2016
Germany,Bundesliga,(UNB),Max Kruse,23,0,2121,15,41,28,1.84,1.25,2016
Germany,Bundesliga,(LAG),Chicharito ,20,6,1895,,52,30,2.61,1.5,2016
Germany,Bundesliga,(KOL),Anthony Modeste,34,0,3075,25,101,53,3.12,1.64,2016
Germany,Bundesliga,(GRO),Arjen Robben,21,5,1882,13,83,52,4.19,2.62,2016
England,Premier League,(INT),Alexis Sanchez,36,2,3385,24,129,49,3.62,1.38,2016
England,Premier League,(INT),Romelu Lukaku,36,1,3448,25,110,53,3.03,1.46,2016
England,Premier League,(TOT),Harry Kane,29,1,2636,29,110,58,3.96,2.09,2016
England,Premier League,(LEI),Jamie Vardy,33,2,2938,13,54,26,1.75,0.84,2016
England,Premier League,(CRY),Christian Benteke,36,0,3299,15,105,38,3.02,1.09,2016
England,Premier League,(ROM),Pedro None,26,9,2250,10,59,17,2.49,0.72,2016
England,Premier League,(RMA),Eden Hazard,36,0,3101,16,77,32,2.36,0.98,2016
England,Premier League,(LIV),Roberto Firmino,34,1,3228,11,104,43,3.06,1.27,2016
England,Premier League,(LIV),Sadio Mane,26,1,2347,13,58,24,2.35,0.97,2016
England,Premier League,(BAR),Philippe Coutinho,28,3,2327,13,107,36,4.37,1.47,2016
England,Premier League,(ATL),Diego Costa,35,0,3232,20,111,41,3.26,1.21,2016
England,Premier League,(TOT),Dele Alli,35,2,3182,,95,43,2.84,1.28,2016
England,Premier League,(MNC),Sergio Aguero,25,6,2444,21,139,51,5.4,1.98,2016
England,Premier League,(RAN),Jermain Defoe,37,0,3511,15,99,,2.68,0.84,2016
England,Premier League,(NAP),Fernando Llorente,28,5,2562,15,52,25,1.93,0.93,2016
England,Premier League,(WHU),Michail Antonio,29,0,2493,11,79,25,3.01,0.95,2016
England,Premier League,(ACM),Zlatan Ibrahimovic,27,1,2578,17,115,45,4.24,1.66,2016
England,Premier League,(CHE),Olivier Giroud,11,18,1311,12,39,20,2.83,1.45,2016
England,Premier League,(TOT),Son Heung-Min,23,11,2174,14,80,33,3.5,1.44,2016
England,Premier League,(BOU),Joshua King,31,5,2856,16,67,29,2.23,0.96,2016
Brazil,Campeonato Brasileiro SÃ©rie A,(GRE),Diego Souza,34,0,2981,14,86,35,2.74,1.12,2016
Brazil,Campeonato Brasileiro SÃ©rie A,(SAP),Pablo ,30,3,2757,9,63,24,2.17,0.83,2016
Brazil,Campeonato Brasileiro SÃ©rie A,None,Robinho ,26,4,2234,12,49,22,2.08,0.94,2016
Brazil,Campeonato Brasileiro SÃ©rie A,None,Kempes ,19,7,1684,9,44,21,2.48,1.18,2016
