Id,Country,HDI Rank,HDI,Life expectancy,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,Change in HDI rank 2010-2015,Average annual HDI growth 1990-2000,Average annual HDI growth 2000-2010,Average annual HDI growth 2010-2015,Average annual HDI growth 1990-2015,Gender Development Index value,Gender Development Index Group,Human Development Index (HDI) Female,Human Development Index (HDI) Male,Life expectancy at birth Female,Life expectancy at birth Male,Mean years of schooling Female,Mean years of schooling Male,Estimated gross national income per capita Female,Estimated gross national income per capita Male,Share of seats in parliament (% held by women),Female Population with at least some secondary education % (2005-2015),Male Population with at least some secondary education % (2005-2015),Labour force participation rate (% ages 15 and older) Female ,Total Population (millions) 2015,Total Population (millions) 2030,Population Average annual growth 2000/2005 (%) ,Population Average annual growth 2010/2015 (%) ,Population Urban 2015 %,Population Under age 5 (millions) 2015,Population Ages 15-64 (millions) 2015,Population Ages 65 and older (millions) 2015,Population Median age (years) 2015,Dependency Ration Young age (0–14) /(per 100 people ages 15–64),Dependency Ratio Old age (65 and older) /(per 100 people ages 15–64),Total fertility rate (birth per woman) 2000/2005,Total fertility rate (birth per woman) 2000/2007,Infants exclusively breastfed (% ages 0–5 months) 2010-2015,Infants lacking immunization DTP (% of one-year-olds),Infants lacking immunization Measles (% of one-year-olds),Child malnutrition Stunting (moderate or severe) 2010-2015,"Mortality rates Infant (per 1,000 live births) 2015","Mortality rates Under-five (per 1,000 live births) 2015","Mortality rates Female Adult (per 1,000 live births) 2014","Mortality rates Male Adult (per 1,000 live births) 2014","Deaths due to Malria (per 100,000 people) ","Deaths due to Tuberculosis (per 100,000 people) ","HIV prevalence, adult (% ages 15–49)",Life expectancy at age 59 (years) 2010/2015,"Physicians  (per 10,000 people) 2001-2014",Public health expenditure (% of GDP) 2014,Employment to population ratio (% ages 15 and older) ,Labour force participation rate (% ages 15 and older),Employment in agriculture (% of total employment) 2010-2014,Employment in services (% of total employment) 2010- 2014,Total Unemployment (% of labour force) 2015,Unemployment Youth (% ages 15-24) 2010-2014,Unemployment Youth not in school or employment (% ages 15-24) 2010-2014,Vulnerable employment (% of total employment) 2005-2014,Child labour  (% ages 5-14) 2009-2015,Working poor at PPP$3.10 a day (%) 2004-2013,Mandatory paid maternity leave (days),Old-age pension recipients  (% of statutory pension age population) 2004-2013,Internet users,Internet users (% 2010 -2015),Inequality-adjusted HDI (IHDI),Inequality-adjusted HDI (IHDI) Over loss(%),Difference from HDI rank,Coefficient of human inequality,Inequality in life expectancy (%) 2010-2015,Inequality-adjusted life expectancy index,Inequality in education(%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income inequality (Quintile ratio) 2010-2015,Income inequality (Palma ratio) 2010-2015,Income inequality (Gini coefficient) 2010-2015
1,Norway,1,0.949,81.7,12.7,67614,5,0,0.77,0.24,0.21,0.45,0.993,1,0.944,0.951,83.7,79.7,12.8,12.7,59800,75314,39.6,96.1,94.6,61.2,5.199999809,5.900000095,0.6,1.3,80.5,0.3,3.400000095,0.9,39.1,27.3,24.9,1.8,1.8,,1,6,,2,2.6,44,69,,0.2,,23.9,42.8,8.3,62.2,64.9,2.1,77,4.1,10.1,5.5,5.3,,,,100,96.8,-0.800000012,0.898,5.4,0,5.4,3.3,0.918,2.4,0.894,10.4,0.882,3.8,0.9,25.9
2,Australia,2,0.939,82.5,13.2,42822,19,1,0.38,0.31,0.24,0.32,0.978,1,0.927,0.948,84.6,80.5,13.4,13,34271,51386,30.5,91.4,91.5,58.6,24,28.5,1.2,1.6,89.4,1.5,15.89999962,3.6,37.5,28.2,22.7,1.8,1.9,,8,7,2,3,3.8,,,,0.2,0.2,24.9,32.7,6.3,60.7,64.7,2.6,69.5,6.3,13.5,9.8,,,,,83,84.6,32.20000076,0.861,8.2,-1,8,4.3,0.921,1.9,0.921,17.7,0.753,6,1.4,34.9
3,Switzerland,2,0.939,83.1,13.4,56364,7,0,0.67,0.49,0.16,0.49,0.974,2,0.926,0.951,85.1,81,13.3,13.5,46798,66116,28.9,96.1,97.4,62.7,8.300000191,9.199999809,0.7,1.2,73.9,0.4,5.599999905,1.5,42.3,22,26.9,1.4,1.5,,2,7,,3.4,3.9,,,,0.1,,25,40.5,7.7,65.7,68.7,3.2,73.9,4.3,7,7.3,9.1,,,98,100,88,15.30000019,0.859,8.6,-4,8.4,3.8,0.934,5.7,0.84,15.7,0.806,4.9,1.2,31.6
4,Germany,4,0.926,81.1,13.2,45000,13,0,0.71,0.59,0.3,0.58,0.964,2,0.908,0.942,83.4,78.7,12.9,13.6,35878,54440,36.9,96.4,97,54.5,80.69999695,79.30000305,-0.2,0.1,75.3,3.4,53.20000076,17.1,46.2,19.6,32.2,1.4,1.4,,2,3,1.3,3.1,3.7,,,,0.4,,23.5,38.9,8.7,57.6,60.3,1.3,70.4,4.6,7.1,6.4,6.3,,,98,100,87.6,9.600000382,0.859,7.2,-1,7,3.7,0.905,2.6,0.891,14.8,0.787,4.6,1.1,30.1
5,Denmark,5,0.925,80.4,12.7,44519,13,2,0.76,0.55,0.32,0.59,0.97,2,0.91,0.938,82.3,78.5,12.6,12.9,36857,52293,37.4,89.1,98.5,58,5.699999809,6,0.3,0.4,87.7,0.3,3.599999905,1.1,41.6,26.3,29.6,1.8,1.7,,4,10,,2.9,3.5,,,,0.4,,22.8,34.9,9.2,58.1,62,2.3,78,6.3,10.8,5.8,5.4,,,126,100,96.3,11,0.858,7.2,-2,7,3.8,0.894,3,0.896,14.3,0.789,4.5,1,29.1
6,Singapore,5,0.925,83.2,11.6,78162,-3,0,1.34,1.05,0.3,1.02,0.985,1,0.913,0.927,86.2,80.1,11.1,12.1,60787,96001,23.9,75.5,81.9,58.2,5.599999905,6.400000095,2.7,2,100,0.3,4.099999905,0.7,40,21.4,16.1,1.3,1.2,,2,5,4.4,2.1,2.7,39,71,,1,,25.1,19.5,2.1,65,67.2,,70.6,3.3,7.3,18.9,8.7,,,105,0,82.1,0.5,,,,,3,0.943,,,,,,,
7,Netherlands,7,0.924,81.7,11.9,46326,8,-2,0.56,0.37,0.29,0.43,0.946,3,0.895,0.946,83.5,79.9,11.6,12.2,30117,62773,36.4,86.2,90.3,57.5,16.89999962,17.60000038,0.5,0.4,90.5,0.9,11,3.1,42.7,25.3,27.9,1.7,1.8,,2,4,,3.2,3.8,,,,0.1,,23.8,28.6,9.5,59.9,63.8,2,75.3,6.1,8.8,5,12.8,,,112,100,93.1,7,0.861,6.9,2,6.8,3.7,0.914,4.2,0.859,12.4,0.812,4.2,1,28
8,Ireland,8,0.923,81.1,12.3,43798,11,1,1.17,0.6,0.29,0.77,0.976,1,0.909,0.931,83.1,79,12.5,11.9,33497,54135,19.9,86.8,82.2,52.4,4.699999809,5.199999809,1.8,0.3,63.2,0.4,3.099999905,0.6,36.9,33.5,20.2,2,2,,2,7,,3,3.6,,,,0.4,,23.4,26.7,5.1,54.3,60,6.1,75.2,9.5,20.9,15.2,12.7,,,182,90.5,80.1,-1.5,0.85,7.9,-2,7.7,3.7,0.905,3,0.883,16.3,0.769,5.3,1.3,32.5
9,Iceland,9,0.921,82.7,12.2,37065,20,7,0.7,0.46,0.6,0.58,0.965,2,0.905,0.938,84.2,81.2,12.2,12.6,30530,43576,41.3,100,97.2,70.7,0.300000012,0.400000006,1.1,0.7,94.1,0,0.200000003,0,36,30.8,20.8,2,2,,4,10,,1.6,2,39,67,,0.3,,24.5,34.8,7.2,70.8,74.1,4.2,77.1,4.4,8.7,5.8,8.5,,,90,100,98.2,6.300000191,0.868,5.8,6,5.7,2.9,0.937,2.5,0.884,11.7,0.789,4,1,26.9
10,Canada,10,0.92,82.2,13.1,42582,12,1,0.21,0.41,0.38,0.32,0.983,1,0.911,0.926,84.1,80.2,13.3,12.9,33288,52026,28.3,100,100,61,35.90000153,40.40000153,1,1,81.8,1.9,,5.8,40.6,23.5,23.8,1.5,1.6,,2,5,,4.3,4.9,,,,0.2,,24.7,20.7,7.4,61,65.6,2.1,78.2,6.9,13.2,13.3,,,,105,97.7,88.5,8.300000191,0.839,8.9,-2,8.7,4.7,0.912,3.9,0.856,17.4,0.755,5.8,1.3,33.7
